experiment,coverage_mode,coverage_run,miRNA,gene,predicted_rs,cov_effect,cov_dep,n_sites,site_cov,cov_tier,window,mRNA_log2fc,RPF_log2fc,TE_log2fc,Group,mRNA_log2fc_raw,RPF_log2fc_raw,TE_log2fc_raw,mature_mirna,mRNA_repression,RPF_repression,TE_repression,external_calibrated_score,TargetScan,miRDB,miRanda_score,miRanda_neg_energy,targetnet_development_overlap,targetnet_set_idx,targetnet_record_id
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ORC6,0.1861186027526855,0.0953,High,1,4.061,High,"[0, 809]",-0.0569158679999999,0.290129429,0.341676255,Site-containing gene,-0.019083199,0.402215889,0.421299088,hsa-miR-155-5p,0.0569158679999999,-0.290129429,-0.341676255,0.6081115275977567,,,154.0,23.74,False,10,U2OS_miR155|hsa-miR-155-5p|ORC6
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,NEMF,0.1791296899318695,0.0507,High,1,1.319,Medium,"[0, 2553]",-0.14895535,-0.246809521,-0.103223214,Unclassified,-0.111122681,-0.134723061,-0.023600381,hsa-miR-155-5p,0.14895535,0.246809521,0.103223214,0.5170680486116485,,,164.0,26.24,False,11,U2OS_miR155|hsa-miR-155-5p|NEMF
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,NR1D2,0.1593099534511566,0.0348,Medium,1,2.639,Medium,"[0, 3198]",-1.15243438,-2.32593347,-1.1788681319999998,Site-containing gene,-1.114601711,-2.21384701,-1.099245299,hsa-miR-155-5p,1.15243438,2.32593347,1.1788681319999998,0.5645058387540411,,,166.0,21.33,False,12,U2OS_miR155|hsa-miR-155-5p|NR1D2
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,TSHZ3,0.1587582528591156,0.0708,High,1,0.805,Low,"[0, 1602]",-1.360076742,-2.090551023,-0.7358433230000001,Site-containing gene,-1.322244073,-1.978464563,-0.65622049,hsa-miR-155-5p,1.360076742,2.090551023,0.7358433230000001,0.4959187817887708,0.201,95.1086351190392,155.0,20.97,False,13,U2OS_miR155|hsa-miR-155-5p|TSHZ3
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,TMEM123,0.1560320854187011,0.095,High,1,5.807,High,"[0, 2535]",-0.970186982,-1.314859798,-0.350041858,Site-containing gene,-0.932354313,-1.202773338,-0.270419025,hsa-miR-155-5p,0.970186982,1.314859798,0.350041858,0.6294395230110423,,,151.0,22.5,False,14,U2OS_miR155|hsa-miR-155-5p|TMEM123
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ZMYM2,0.1543035805225372,0.0518,High,1,0.0,Low,"[0, 3101]",0.153143596,-0.233601589,-0.392114227,Site-containing gene,0.190976265,-0.121515129,-0.312491394,hsa-miR-155-5p,-0.153143596,0.233601589,0.392114227,0.4560558299485281,0.027,92.2587386659036,161.0,20.38,False,15,U2OS_miR155|hsa-miR-155-5p|ZMYM2
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ANXA2,0.1470985561609268,0.0851,High,1,8.775,High,"[0, 479]",-1.463783344,-1.36283786,0.0955764419999999,Site-containing gene,-1.425950675,-1.2507514,0.175199275,hsa-miR-155-5p,1.463783344,1.36283786,-0.0955764419999999,0.6382321522159486,,,160.0,22.41,False,16,U2OS_miR155|hsa-miR-155-5p|ANXA2
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ZNF160,0.1399197280406952,0.0407,High,1,1.697,Medium,"[0, 1463]",-0.1503869669999999,-0.15479561,-0.009777685,Site-containing gene,-0.112554298,-0.04270915,0.069845148,hsa-miR-155-5p,0.1503869669999999,0.15479561,0.009777685,0.5179003548010366,,54.7196,157.0,22.92,False,17,U2OS_miR155|hsa-miR-155-5p|ZNF160
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,UACA,0.1305703222751617,0.0614,High,1,0.0,Low,"[0, 2502]",-0.882255352,-1.027556543,-0.150670232,Site-containing gene,-0.844422683,-0.915470083,-0.071047399,hsa-miR-155-5p,0.882255352,1.027556543,0.150670232,0.4511846663375027,,,168.0,20.86,False,18,U2OS_miR155|hsa-miR-155-5p|UACA
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ITGA4,0.1298568099737167,0.0464,High,1,1.319,Medium,"[0, 3413]",-0.541687223,-0.441099795,0.0952183849999999,Unclassified,-0.503854554,-0.329013335,0.174841218,hsa-miR-155-5p,0.541687223,0.441099795,-0.0952183849999999,0.5061079304868413,,,155.0,25.41,False,19,U2OS_miR155|hsa-miR-155-5p|ITGA4
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,SLC6A15,0.1276800632476806,0.049,High,1,1.697,Medium,"[0, 2141]",-0.7887663410000001,-0.7810961829999999,0.0023011159999999,Site-containing gene,-0.750933672,-0.669009723,0.081923949,hsa-miR-155-5p,0.7887663410000001,0.7810961829999999,-0.0023011159999999,0.5142469820927675,,,169.0,22.32,False,20,U2OS_miR155|hsa-miR-155-5p|SLC6A15
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,PAQR3,0.1232014670968055,0.0349,Medium,1,0.805,Low,"[2661, 8661]",-1.552166232,-1.701222606,-0.154425416,Site-containing gene,-1.514333563,-1.589136146,-0.074802583,hsa-miR-155-5p,1.552166232,1.701222606,0.154425416,0.4849586636639637,,,165.0,20.35,False,21,U2OS_miR155|hsa-miR-155-5p|PAQR3
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,CIAPIN1,0.1226508840918541,0.0358,High,1,5.008,High,"[0, 983]",-0.5951802150000001,-0.338377605,0.251433568,Site-containing gene,-0.557347546,-0.226291145,0.331056401,hsa-miR-155-5p,0.5951802150000001,0.338377605,-0.251433568,0.6035084568723432,,,160.0,21.86,False,22,U2OS_miR155|hsa-miR-155-5p|CIAPIN1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ANTXR1,0.1132101565599441,0.0569,High,1,5.4,High,"[0, 3842]",-0.290988411,-0.187217088,0.098402281,Site-containing gene,-0.253155742,-0.075130628,0.178025114,hsa-miR-155-5p,0.290988411,0.187217088,-0.098402281,0.6085583490737765,,,156.0,21.35,False,23,U2OS_miR155|hsa-miR-155-5p|ANTXR1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,LAMP2,0.1096647232770919,0.0451,High,1,0.0,Low,"[0, 5175]",-0.239173827,-0.265862373,-0.032057588,Site-containing gene,-0.201341158,-0.153775913,0.047565245,hsa-miR-155-5p,0.239173827,0.265862373,0.032057588,0.4426601300182083,,,166.0,21.47,False,24,U2OS_miR155|hsa-miR-155-5p|LAMP2
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,DUSP14,0.1067690104246139,0.0349,Medium,1,3.028,High,"[0, 629]",-0.7933073580000001,-0.443606651,0.344331665,Site-containing gene,-0.755474689,-0.331520191,0.423954498,hsa-miR-155-5p,0.7933073580000001,0.443606651,-0.344331665,0.5612099232265879,0.382,66.4709,164.0,20.64,False,25,U2OS_miR155|hsa-miR-155-5p|DUSP14
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,RABGAP1,0.1039942279458046,0.0373,High,1,2.006,Medium,"[0, 1653]",-0.070659775,-1.130706731,-1.065415998,Site-containing gene,-0.032827106,-1.018620271,-0.985793165,hsa-miR-155-5p,0.070659775,1.130706731,1.065415998,0.5150792882821555,,,169.0,25.99,False,26,U2OS_miR155|hsa-miR-155-5p|RABGAP1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,MYLK,0.1003333255648613,0.0367,High,1,2.455,Medium,"[0, 4056]",-0.813417006,-0.791069838,0.0169781259999999,Site-containing gene,-0.775584337,-0.678983378,0.096600959,hsa-miR-155-5p,0.813417006,0.791069838,-0.0169781259999999,0.5269610768915547,0.073,68.907247576,163.0,22.58,False,27,U2OS_miR155|hsa-miR-155-5p|MYLK
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,WDFY1,0.0993408635258674,0.0385,High,1,2.949,Medium,"[0, 3323]",-0.5357666170000001,-1.394523056,-0.8641254810000001,Site-containing gene,-0.497933948,-1.282436596,-0.784502648,hsa-miR-155-5p,0.5357666170000001,1.394523056,0.8641254810000001,0.5519424450131093,,,152.0,20.67,False,28,U2OS_miR155|hsa-miR-155-5p|WDFY1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,OPHN1,0.0983072370290756,0.036,High,1,0.0,Low,"[0, 4828]",-0.582249089,-0.992964608,-0.416084561,Site-containing gene,-0.54441642,-0.880878148,-0.336461728,hsa-miR-155-5p,0.582249089,0.992964608,0.416084561,0.4365711755044266,,,160.0,20.29,False,29,U2OS_miR155|hsa-miR-155-5p|OPHN1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,TENM3,0.0982399210333824,0.0332,Medium,1,1.996,Medium,"[0, 2673]",-0.2939035949999999,-0.363778443,-0.07524389,Site-containing gene,-0.256070926,-0.251691983,0.004378943,hsa-miR-155-5p,0.2939035949999999,0.363778443,0.07524389,0.5064653876676571,0.115,82.2788,168.0,20.23,False,30,U2OS_miR155|hsa-miR-155-5p|TENM3
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,FBXO9,0.0966601520776748,0.0182,Low,1,0.0,Low,"[0, 3043]",-0.2373479809999999,-0.317553148,-0.085574209,Site-containing gene,-0.199515312,-0.205466688,-0.005951376,hsa-miR-155-5p,0.2373479809999999,0.317553148,0.085574209,0.4341355936989139,,,147.0,21.1,False,31,U2OS_miR155|hsa-miR-155-5p|FBXO9
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ADGRL3,0.0958918631076812,0.0194,Low,1,0.805,Low,"[1427, 7427]",-1.591491938,-1.865288993,-0.279166097,Site-containing gene,-1.553659269,-1.753202533,-0.199543264,hsa-miR-155-5p,1.591491938,1.865288993,0.279166097,0.4703451728308875,,,159.0,20.24,False,32,U2OS_miR155|hsa-miR-155-5p|ADGRL3
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,FXR1,0.0924397483468055,0.0204,Medium,1,0.0,Low,"[461, 6461]",-0.087882455,0.147351332,0.2298647449999999,Site-containing gene,-0.050049786,0.259437792,0.309487578,hsa-miR-155-5p,0.087882455,-0.147351332,-0.2298647449999999,0.4317000118934012,0.13,86.2340618925928,155.0,20.06,False,33,U2OS_miR155|hsa-miR-155-5p|FXR1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,MYO10,0.0917396694421768,0.0366,High,1,2.607,Medium,"[0, 4785]",-1.001720537,-0.775625244,0.220726252,Site-containing gene,-0.963887868,-0.663538784,0.300349085,hsa-miR-155-5p,1.001720537,0.775625244,-0.220726252,0.5303183291816594,0.197,82.8442,157.0,21.58,False,34,U2OS_miR155|hsa-miR-155-5p|MYO10
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,SLC5A3,0.0891363695263862,0.018,Low,1,2.724,Medium,"[987, 6987]",-1.764702637,-1.881055313,-0.121721718,Site-containing gene,-1.726869968,-1.768968853,-0.042098885,hsa-miR-155-5p,1.764702637,1.881055313,0.121721718,0.536586012285849,,,157.0,21.01,False,35,U2OS_miR155|hsa-miR-155-5p|SLC5A3
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,KDM5B,0.0891242921352386,0.0166,Low,1,2.949,Medium,"[0, 4541]",-0.172731684,0.018161704,0.185524346,Site-containing gene,-0.134899015,0.130248164,0.265147179,hsa-miR-155-5p,0.172731684,-0.018161704,-0.185524346,0.5409823268883023,0.324,97.1141929912,165.0,21.64,False,36,U2OS_miR155|hsa-miR-155-5p|KDM5B
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,PEA15,0.0890449285507202,0.0318,Medium,1,5.337,High,"[0, 1886]",-0.090713653,-0.03173752,0.0536070909999999,Site-containing gene,-0.052880984,0.08034894,0.133229924,hsa-miR-155-5p,0.090713653,0.03173752,-0.0536070909999999,0.5865487485289582,0.191,73.2403,161.0,21.92,False,37,U2OS_miR155|hsa-miR-155-5p|PEA15
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,NEO1,0.0882453098893165,0.0186,Low,1,3.083,High,"[0, 2509]",-0.4440226559999999,-0.5093088370000001,-0.070655223,Site-containing gene,-0.406189987,-0.397222377,0.00896761,hsa-miR-155-5p,0.4440226559999999,0.5093088370000001,0.070655223,0.5497749560932085,,,160.0,24.33,False,38,U2OS_miR155|hsa-miR-155-5p|NEO1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,SLFN5,0.0874285027384758,0.028,Medium,1,3.564,High,"[0, 6000]",-0.336741056,-0.402105664,-0.07073365,Unclassified,-0.298908387,-0.290019204,0.008889183,hsa-miR-155-5p,0.336741056,0.402105664,0.07073365,0.5579140076991347,,,164.0,22.26,False,39,U2OS_miR155|hsa-miR-155-5p|SLFN5
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,SNTB2,0.086792878806591,0.0237,Medium,1,2.244,Medium,"[0, 6000]",-0.503029415,-0.396011906,0.1016484669999999,Site-containing gene,-0.465196746,-0.283925446,0.1812713,hsa-miR-155-5p,0.503029415,0.396011906,-0.1016484669999999,0.5005551617442834,,,162.0,20.62,False,40,U2OS_miR155|hsa-miR-155-5p|SNTB2
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,TBC1D20,0.0855642333626747,0.0225,Medium,1,2.406,Medium,"[0, 3106]",-0.700081547,-0.86507042,-0.170357915,Site-containing gene,-0.662248878,-0.75298396,-0.090735082,hsa-miR-155-5p,0.700081547,0.86507042,0.170357915,0.503080107845,,,152.0,23.3,False,41,U2OS_miR155|hsa-miR-155-5p|TBC1D20
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,CLCN5,0.0850503891706466,0.0333,Medium,1,0.824,Low,"[0, 6000]",-0.136951453,-0.422620375,-0.291037964,Site-containing gene,-0.099118784,-0.310533915,-0.211415131,hsa-miR-155-5p,0.136951453,0.422620375,0.291037964,0.4681776839109867,0.053,52.9818,169.0,21.71,False,42,U2OS_miR155|hsa-miR-155-5p|CLCN5
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,CNOT7,0.0845028758049011,0.0169,Low,1,0.0,Low,"[0, 5754]",0.038638868,0.2230152329999999,0.179007323,Unclassified,0.076471537,0.335101693,0.258630156,hsa-miR-155-5p,-0.038638868,-0.2230152329999999,-0.179007323,0.4183043119630814,,82.8133,164.0,21.1,False,43,U2OS_miR155|hsa-miR-155-5p|CNOT7
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,UTP23,0.0798300430178642,0.0044,Low,1,3.204,High,"[0, 2842]",0.8190761,0.808200499,-0.016244643,Site-containing gene,0.856908769,0.920286959,0.06337819,hsa-miR-155-5p,-0.8190761,-0.808200499,0.016244643,0.5468645252791235,,,161.0,20.38,False,44,U2OS_miR155|hsa-miR-155-5p|UTP23
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,BNC2,0.0797044187784195,0.0167,Low,1,2.455,Medium,"[0, 6000]",-0.759824648,-0.2000916959999999,0.55436391,Site-containing gene,-0.721991979,-0.088005236,0.633986743,hsa-miR-155-5p,0.759824648,0.2000916959999999,-0.55436391,0.5026052588364278,0.154,82.7007974108,159.0,20.15,False,45,U2OS_miR155|hsa-miR-155-5p|BNC2
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,C14orf119,0.0781027600169181,0.0172,Low,1,0.0,Low,"[0, 2375]",0.1650373809999999,0.464109533,0.29370311,Site-containing gene,0.20287005,0.576195993,0.373325943,hsa-miR-155-5p,-0.1650373809999999,-0.464109533,-0.29370311,0.413433148352056,,,146.0,20.21,False,46,U2OS_miR155|hsa-miR-155-5p|C14orf119
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ZBTB20,0.0770075693726539,0.0233,Medium,1,0.805,Low,"[11718, 17718]",-0.183251601,-0.0362469899999999,0.141635569,Site-containing gene,-0.145418932,0.07583947,0.221258402,hsa-miR-155-5p,0.183251601,0.0362469899999999,-0.141635569,0.4496427274840296,,53.7000266750527,164.0,20.37,False,47,U2OS_miR155|hsa-miR-155-5p|ZBTB20
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,CARHSP1,0.0752269700169563,0.022,Medium,1,6.078,High,"[0, 2217]",-1.458509262,-0.463126102,0.990014119,Site-containing gene,-1.420676593,-0.351039642,1.069636952,hsa-miR-155-5p,1.458509262,0.463126102,-0.990014119,0.5906489427132471,0.451,66.6574,156.0,21.34,False,48,U2OS_miR155|hsa-miR-155-5p|CARHSP1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,ZNF445,0.075067825615406,0.0162,Low,1,0.0,Low,"[4652, 10652]",0.161856864,0.150435359,-0.016790547,Unclassified,0.199689533,0.262521819,0.062832286,hsa-miR-155-5p,-0.161856864,-0.150435359,0.016790547,0.409779775643787,,,168.0,20.83,False,49,U2OS_miR155|hsa-miR-155-5p|ZNF445
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,RREB1,0.0748771205544471,0.005,Low,1,2.555,Medium,"[0, 3012]",-0.3209171369999999,-0.697561547,-0.382013453,Site-containing gene,-0.283084468,-0.585475087,-0.30239062,hsa-miR-155-5p,0.3209171369999999,0.697561547,0.382013453,0.5058731468313284,0.02,87.5992177978673,158.0,20.96,False,50,U2OS_miR155|hsa-miR-155-5p|RREB1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,AAK1,0.0741736516356468,0.0115,Low,1,1.319,Medium,"[10595, 16595]",-0.08625663,-0.182474282,-0.101586695,Site-containing gene,-0.048423961,-0.070387822,-0.021963862,hsa-miR-155-5p,0.08625663,0.182474282,0.101586695,0.4634852488903692,0.115,67.1012153762539,164.0,23.26,False,51,U2OS_miR155|hsa-miR-155-5p|AAK1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,GATAD2B,0.0708202421665191,0.0142,Low,1,0.0,Low,"[0, 5452]",-0.1474874649999999,-0.181076831,-0.038958408,Site-containing gene,-0.109654796,-0.068990371,0.040664425,hsa-miR-155-5p,0.1474874649999999,0.181076831,0.038958408,0.4049086120327616,0.01,,159.0,21.01,False,52,U2OS_miR155|hsa-miR-155-5p|GATAD2B
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,SORT1,0.0679182484745979,0.0138,Low,1,3.083,High,"[0, 4468]",-0.78290082,-0.789681537,-0.012149759,Site-containing gene,-0.745068151,-0.677595077,0.067473074,hsa-miR-155-5p,0.78290082,0.789681537,0.012149759,0.5290725107463506,,54.4393473242,159.0,20.75,False,53,U2OS_miR155|hsa-miR-155-5p|SORT1
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,PML,0.0665227770805358,0.0119,Low,1,0.0,Low,"[0, 2819]",0.14958418,0.282702431,0.127749209,Site-containing gene,0.187416849,0.394788891,0.207372042,hsa-miR-155-5p,-0.14958418,-0.282702431,-0.127749209,0.4012552393244926,,,161.0,21.99,False,54,U2OS_miR155|hsa-miR-155-5p|PML
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,TSPAN14,0.066415250301361,0.0139,Low,1,3.995,High,"[0, 4655]",-1.267310648,-1.068864004,0.193077602,Site-containing gene,-1.229477979,-0.956777544,0.272700435,hsa-miR-155-5p,1.267310648,1.068864004,-0.193077602,0.54226145455371,0.205,69.0100140472,167.0,23.66,False,55,U2OS_miR155|hsa-miR-155-5p|TSPAN14
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,CEP63,0.0638841912150383,0.011,Low,1,0.0,Low,"[0, 3496]",0.35911857,0.254346529,-0.110141083,Site-containing gene,0.396951239,0.366432989,-0.03051825,hsa-miR-155-5p,-0.35911857,-0.254346529,0.110141083,0.3988196575189798,,,173.0,20.83,False,56,U2OS_miR155|hsa-miR-155-5p|CEP63
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,RBM28,0.062787152826786,0.0137,Low,1,0.0,Low,"[7112, 13112]",0.138898686,-0.247462213,-0.391729942,Unclassified,0.176731355,-0.135375753,-0.312107109,hsa-miR-155-5p,-0.138898686,0.247462213,0.391729942,0.3976018666162235,,,164.0,21.22,False,57,U2OS_miR155|hsa-miR-155-5p|RBM28
U2OS_miR155,matched_mock,SRR1551153,hsa-miR-155-5p,NEMP1,0.047307401895523,-0.015,Low,2,4.682,High,"[0, 4236]",-1.074371912,-1.439513545,-0.370510674,Site-containing gene,-1.036539243,-1.327427085,-0.290887841,hsa-miR-155-5p,1.074371912,1.439513545,0.370510674,0.599437878386663,,56.0566222040415,164.0,20.45,False,58,U2OS_miR155|hsa-miR-155-5p|NEMP1
HEK293T_miR1,matched_mock,SRR1551164,hsa-miR-1-3p,CAAP1,0.1764220297336578,0.0872,High,1,3.791,High,"[0, 1616]",-0.06423707,-0.2240402739999999,-0.163660145,Site-containing gene,-0.025120812,-0.194723229,-0.169602417,hsa-miR-1-3p,0.06423707,0.2240402739999999,0.163660145,0.574140150048442,0.476,95.97578,167.0,20.21,False,59,HEK293T_miR1|hsa-miR-1-3p|CAAP1
HEK293T_miR1,matched_mock,SRR1551164,hsa-miR-1-3p,C6orf120,0.1192981749773025,0.0412,High,1,4.775,High,"[0, 3325]",-0.062888321,0.290623975,0.349655355,Site-containing gene,-0.023772063,0.31994102,0.343713083,hsa-miR-1-3p,0.062888321,-0.290623975,-0.349655355,0.6066181443156066,0.06,56.8451,165.0,21.52,False,60,HEK293T_miR1|hsa-miR-1-3p|C6orf120
HEK293T_miR1,matched_mock,SRR1551164,hsa-miR-1-3p,FNDC3A,0.1104165688157081,0.0249,Medium,1,3.593,High,"[0, 2384]",-0.363453442,-0.636000257,-0.276403756,Site-containing gene,-0.324337184,-0.606683212,-0.282346028,hsa-miR-1-3p,0.363453442,0.636000257,0.276403756,0.5421252253109707,0.17,94.6438,165.0,20.16,False,61,HEK293T_miR1|hsa-miR-1-3p|FNDC3A
HEK293T_miR1,matched_mock,SRR1551164,hsa-miR-1-3p,DICER1,0.1080494672060012,0.0255,Medium,1,3.148,High,"[0, 4270]",0.067398056,-0.098238641,-0.169493638,Site-containing gene,0.106514314,-0.068921596,-0.17543591,hsa-miR-1-3p,-0.067398056,0.098238641,0.169493638,0.516420671615055,0.023,67.2096,180.0,20.13,False,62,HEK293T_miR1|hsa-miR-1-3p|DICER1
HEK293T_miR1,matched_mock,SRR1551164,hsa-miR-1-3p,DDX5,0.1073434427380561,0.0509,High,1,6.967,High,"[0, 1669]",-0.517111884,-0.550036216,-0.036781272,Site-containing gene,-0.477995626,-0.520719171,-0.042723544,hsa-miR-1-3p,0.517111884,0.550036216,0.036781272,0.6070812138452998,0.404,93.46624,178.0,20.95,False,63,HEK293T_miR1|hsa-miR-1-3p|DDX5
