experiment,gene,coverage_run,utr_length,shape_js_divergence,amplitude_log_difference,distal_usage_difference,within_experiment_shape_js_divergence_percentile,within_experiment_amplitude_log_difference_percentile,within_experiment_distal_usage_difference_percentile,context_divergence_composite,context_divergence_stratum
U2OS_miR155,ZNF160,SRR1551153,1463,0.0733132204348668,2.1375397777359364,0.049531177289346,0.3684210526315789,0.7192982456140351,0.3508771929824561,0.4795321637426901,Moderate divergence
U2OS_miR155,UACA,SRR1551153,2502,0.2902798248725743,1.2987440484709456,0.2353331161080936,0.9473684210526316,0.4561403508771929,0.9824561403508772,0.7953216374269005,High divergence
U2OS_miR155,ITGA4,SRR1551153,3413,0.1234478691882691,2.2755263526585483,0.0550910909316165,0.5964912280701754,0.8070175438596491,0.3859649122807017,0.5964912280701754,Moderate divergence
U2OS_miR155,SLC6A15,SRR1551153,2141,0.1037709172890218,1.231412870496338,0.1418879271381283,0.5087719298245614,0.4210526315789473,0.7543859649122807,0.5614035087719298,Moderate divergence
U2OS_miR155,PAQR3,SRR1551153,8661,0.2800746496769226,0.8787083053983258,0.3785489174912312,0.9298245614035088,0.2807017543859649,1.0,0.7368421052631579,High divergence
U2OS_miR155,CIAPIN1,SRR1551153,983,0.0490595052524331,1.2012301363468891,0.0057046923283955,0.1929824561403508,0.4035087719298245,0.0701754385964912,0.2222222222222222,Low divergence
U2OS_miR155,EMSY,SRR1551153,2885,0.0815368427995359,1.1168106269723213,0.075190420481268,0.4210526315789473,0.3333333333333333,0.5087719298245614,0.4210526315789473,Moderate divergence
U2OS_miR155,ANTXR1,SRR1551153,3842,0.0447335752759202,2.409846220960468,0.0914460679670755,0.1578947368421052,0.8421052631578947,0.6140350877192983,0.5380116959064328,Moderate divergence
U2OS_miR155,LAMP2,SRR1551153,5175,0.2334646387279947,2.414039369886325,0.2049796476398941,0.8947368421052632,0.8596491228070176,0.9298245614035088,0.8947368421052632,High divergence
U2OS_miR155,DUSP14,SRR1551153,629,0.0872644875184839,0.296448944482572,0.1785867117891708,0.4385964912280701,0.1052631578947368,0.8596491228070176,0.4678362573099415,Moderate divergence
U2OS_miR155,RABGAP1,SRR1551153,1653,0.0522667354974001,2.1908543672768173,0.080779901459725,0.2280701754385964,0.7719298245614035,0.5614035087719298,0.52046783625731,Moderate divergence
U2OS_miR155,MYLK,SRR1551153,4056,0.1127348156667913,1.8902764557687144,0.0297228953076022,0.5614035087719298,0.6140350877192983,0.2807017543859649,0.4853801169590643,Moderate divergence
U2OS_miR155,WDFY1,SRR1551153,3323,0.037856558106065,2.1247263901324143,0.0506650169362893,0.0526315789473684,0.7017543859649122,0.3684210526315789,0.3742690058479532,Low divergence
U2OS_miR155,OPHN1,SRR1551153,4828,0.1268918955572613,0.3373977716869889,0.0122238255890588,0.631578947368421,0.1228070175438596,0.1403508771929824,0.2982456140350877,Low divergence
U2OS_miR155,TENM3,SRR1551153,2673,0.1649212407082269,1.3887268657352083,0.1927531558592985,0.7894736842105263,0.4912280701754385,0.8947368421052632,0.7251461988304094,High divergence
U2OS_miR155,FBXO9,SRR1551153,3043,0.176458612957788,1.653483764445723,0.1352639393548503,0.8070175438596491,0.5614035087719298,0.7368421052631579,0.7017543859649122,High divergence
U2OS_miR155,ADGRL3,SRR1551153,7427,0.3468312327576409,0.5985853690492076,0.230316576898125,0.9649122807017544,0.175438596491228,0.9649122807017544,0.7017543859649122,High divergence
U2OS_miR155,FXR1,SRR1551153,6461,0.1929149236700006,0.9970432687765228,0.150237900185603,0.8771929824561403,0.2982456140350877,0.7894736842105263,0.6549707602339181,High divergence
U2OS_miR155,PIK3R1,SRR1551153,4220,0.1054377913478293,2.892058047551973,0.0987896907330548,0.5263157894736842,1.0,0.6666666666666666,0.7309941520467835,High divergence
U2OS_miR155,MYO10,SRR1551153,4785,0.1867896021570696,0.0293606222074978,0.2198720529179281,0.8245614035087719,0.0175438596491228,0.9473684210526316,0.5964912280701754,High divergence
U2OS_miR155,SLC5A3,SRR1551153,8905,0.0518665284435825,0.0558465403980084,0.0253305453560521,0.2105263157894736,0.0350877192982456,0.2105263157894736,0.1520467836257309,Low divergence
U2OS_miR155,KDM5B,SRR1551153,4541,0.1251388911878226,2.5706637541501287,0.0032149926961164,0.6140350877192983,0.8771929824561403,0.0350877192982456,0.5087719298245613,Moderate divergence
U2OS_miR155,PEA15,SRR1551153,1886,0.0303793772736116,0.0725588072634764,0.0647363342504833,0.0175438596491228,0.0526315789473684,0.4210526315789473,0.1637426900584795,Low divergence
U2OS_miR155,NEO1,SRR1551153,2509,0.0982526951322068,0.4338422095587133,0.1197846470348992,0.4561403508771929,0.1403508771929824,0.7192982456140351,0.4385964912280702,Moderate divergence
U2OS_miR155,SLFN5,SRR1551153,7767,0.1379958183933057,2.584691871032904,0.143775278514055,0.7017543859649122,0.8947368421052632,0.7719298245614035,0.7894736842105262,High divergence
U2OS_miR155,SNTB2,SRR1551153,8128,0.1396172587045236,1.9857697182043696,0.1757890682970725,0.7368421052631579,0.6491228070175439,0.8421052631578947,0.7426900584795321,High divergence
U2OS_miR155,TBC1D20,SRR1551153,3106,0.0551323595271013,2.0922461664904657,0.0068389313472201,0.2456140350877192,0.6842105263157895,0.087719298245614,0.3391812865497076,Low divergence
U2OS_miR155,CLCN5,SRR1551153,7011,0.1476551972353819,0.695895413498361,0.0721074889343642,0.7719298245614035,0.2280701754385964,0.4736842105263157,0.4912280701754385,Moderate divergence
U2OS_miR155,CNOT7,SRR1551153,5754,0.1085459169889295,1.1573718817483982,0.0841453832090279,0.543859649122807,0.3508771929824561,0.5789473684210527,0.4912280701754386,Moderate divergence
U2OS_miR155,SP1,SRR1551153,5206,0.0696676477161969,2.764232981681721,0.0676753984239524,0.3157894736842105,0.9473684210526316,0.4385964912280701,0.5672514619883041,Moderate divergence
U2OS_miR155,UTP23,SRR1551153,2842,0.1297490126373741,1.257462639480536,0.1987983410131209,0.6666666666666666,0.4385964912280701,0.912280701754386,0.6725146198830408,High divergence
U2OS_miR155,BNC2,SRR1551153,9486,0.1897632678817014,0.0803359066322939,0.0104851484293118,0.8596491228070176,0.0701754385964912,0.1228070175438596,0.3508771929824561,Low divergence
U2OS_miR155,C14orf119,SRR1551153,2375,0.0564334467867772,1.0827992044270136,0.0291518031473292,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.2807017543859649,Low divergence
U2OS_miR155,ZBTB20,SRR1551153,24505,0.1225930464772026,1.1596054073186144,0.0911329833486302,0.5789473684210527,0.3684210526315789,0.5964912280701754,0.5146198830409356,Moderate divergence
U2OS_miR155,CARHSP1,SRR1551153,2217,0.1032656968019806,0.7216445549275612,0.0705791387783663,0.4912280701754385,0.2631578947368421,0.4561403508771929,0.4035087719298245,Low divergence
U2OS_miR155,ZNF445,SRR1551153,14870,0.2399213448130578,2.166243501361484,0.1848327736485593,0.912280701754386,0.7543859649122807,0.8771929824561403,0.847953216374269,High divergence
U2OS_miR155,RREB1,SRR1551153,3012,0.0704712071195143,2.26228177798479,0.0099158328899703,0.3508771929824561,0.7894736842105263,0.1052631578947368,0.4152046783625731,Low divergence
U2OS_miR155,AAK1,SRR1551153,17872,0.0994677969987797,1.4693503508088082,0.0424225738110978,0.4736842105263157,0.5087719298245614,0.3333333333333333,0.4385964912280701,Moderate divergence
U2OS_miR155,PHC2,SRR1551153,1239,0.0377352198313016,2.7040955526788317,0.0015169386774953,0.0350877192982456,0.9298245614035088,0.0175438596491228,0.327485380116959,Low divergence
U2OS_miR155,GATAD2B,SRR1551153,5452,0.1285970720985753,2.772679791557278,0.0939615543602037,0.6491228070175439,0.9824561403508772,0.6491228070175439,0.7602339181286549,High divergence
U2OS_miR155,SORT1,SRR1551153,4468,0.0417574719755171,1.6047358106763387,0.0737030456954645,0.1228070175438596,0.543859649122807,0.4912280701754385,0.3859649122807018,Low divergence
U2OS_miR155,IGF2R,SRR1551153,6420,0.0789091679917932,1.9217552089335523,0.0211560522368247,0.4035087719298245,0.631578947368421,0.175438596491228,0.4035087719298245,Low divergence
U2OS_miR155,PML,SRR1551153,2819,0.1391821398956298,1.3621327033489412,0.1163753185699916,0.7192982456140351,0.4736842105263157,0.7017543859649122,0.631578947368421,High divergence
U2OS_miR155,TSPAN14,SRR1551153,4655,0.0703604908254372,2.347782424936276,0.0603225077472292,0.3333333333333333,0.8245614035087719,0.4035087719298245,0.52046783625731,Moderate divergence
U2OS_miR155,CEP63,SRR1551153,3496,0.417898404707236,2.639030705445124,0.0796707262290552,1.0,0.912280701754386,0.543859649122807,0.8187134502923977,High divergence
U2OS_miR155,RBM28,SRR1551153,13112,0.3513063738163322,2.1421697291650306,0.0322265009789494,0.9824561403508772,0.7368421052631579,0.2982456140350877,0.672514619883041,High divergence
U2OS_miR155,GLG1,SRR1551153,5727,0.1326232164477145,1.8381609200660187,0.1588682162889521,0.6842105263157895,0.5789473684210527,0.8070175438596491,0.6900584795321637,High divergence
U2OS_miR155,NEMP1,SRR1551153,4236,0.0457251362961904,0.7007334153641698,0.0214209611729516,0.175438596491228,0.2456140350877192,0.1929824561403508,0.2046783625730993,Low divergence
HEK293T_miR1,CAAP1,SRR1551164,1616,0.0288974307524916,0.1794529177290935,0.0195266573190925,0.4545454545454545,0.1818181818181818,0.1818181818181818,0.2727272727272727,Low divergence
HEK293T_miR1,C6orf120,SRR1551164,3325,0.0217555427505808,0.6181097523065766,0.0383353403851351,0.1818181818181818,0.2727272727272727,0.4545454545454545,0.303030303030303,Low divergence
HEK293T_miR1,FNDC3A,SRR1551164,2384,0.0184990055807053,0.9394333420129756,0.040000085633885,0.0909090909090909,0.4545454545454545,0.5454545454545454,0.3636363636363636,Low divergence
HEK293T_miR1,DICER1,SRR1551164,4270,0.0288328362968193,1.730829024233635,0.0152591655229559,0.3636363636363636,0.9090909090909092,0.0909090909090909,0.4545454545454545,Moderate divergence
HEK293T_miR1,DDX5,SRR1551164,1669,0.0228846526194698,0.6995850928789178,0.0651578106965839,0.2727272727272727,0.3636363636363636,0.6363636363636364,0.4242424242424242,Moderate divergence
HEK293T_miR1,NCL,SRR1551164,1660,0.0299207483341561,1.069275887470145,0.0255419953068889,0.5454545454545454,0.5454545454545454,0.3636363636363636,0.4848484848484848,Moderate divergence
HEK293T_miR1,SLC25A22,SRR1551164,1440,0.0864767487549263,1.352965395548197,0.1694400165431943,0.9090909090909092,0.7272727272727273,1.0,0.8787878787878788,High divergence
HEK293T_miR1,ZBTB38,SRR1551164,3816,0.0729195091378682,2.5755698748568414,0.0691417949342881,0.7272727272727273,1.0,0.7272727272727273,0.8181818181818182,High divergence
HEK293T_miR1,SNTB2,SRR1551164,8128,0.0670160587030924,1.3953934898581348,0.0241460615307257,0.6363636363636364,0.8181818181818182,0.2727272727272727,0.5757575757575758,Moderate divergence
HEK293T_miR1,GNAI3,SRR1551164,7873,0.1040107791539478,1.3198615935609457,0.0713122148157167,1.0,0.6363636363636364,0.8181818181818182,0.8181818181818182,High divergence
HEK293T_miR1,TCEANC2,SRR1551164,9609,0.0802352129867671,0.1351693772953774,0.1373819923822301,0.8181818181818182,0.0909090909090909,0.9090909090909092,0.6060606060606061,High divergence
