gene	miRNA	utrprism	utrprism_replicate_sd	full_model_zero_coverage	sequence_only	coverage_gain_vs_zero	n_sites	site_coverage_mean	site_coverage_sd	miranda_score_max	miranda_energy_min	ko_mean	wt_mean	mrna_log2_ko_wt	clip_peak_count	clip_wt_ko_log2fc_max	clip_wt_ko_log2fc_mean	clip_support
5730522E02Rik	mmu-miR-122-5p	0.1248391062021255	0.0039681480780792	0.1226541772484779	0.1864905208349228	0.0021849289536476	1	0.103	0.2303150016824783	147.0	-23.21	0.21264078675	0.1673325214	0.2258706486560491	0.0	0.0	0.0	False
A530016L24Rik	mmu-miR-122-5p	0.0704767942428588	0.0047827407160284	0.0654600858688354	0.0836593359708786	0.0050167083740234	1	0.1197999999999999	0.2678809437044748	154.0	-24.52	0.0241889495	0.0387252324	-0.1596934135501913	0.0	0.0	0.0	False
AU021092	mmu-miR-122-5p	0.0890327677130699	0.0034407131589234	0.0718761458992958	0.104409784078598	0.0171566218137741	2	0.0	0.0	150.0	-22.88	2.3056275205	1.6095495526	0.4927970366274339	0.0	0.0	0.0	False
AW554918	mmu-miR-122-5p	0.0821518614888191	0.0029843730408136	0.0583324208855629	0.0878954455256462	0.0238194406032562	1	0.7073999999999999	0.4056362902897126	140.0	-20.11	0.6305566562499999	0.3086944433999999	0.8379735328463864	0.0	0.0	0.0	False
Aacs	mmu-miR-122-5p	0.1011624410748481	0.0046256118414809	0.0743284523487091	0.0866077169775962	0.026833988726139	1	3.1036	1.1173899498384616	153.0	-21.02	6.812459432	9.5760345346	-0.4852168099792497	1.0	4.026151558	4.026151558	True
Aatk	mmu-miR-122-5p	0.1090619280934333	0.017374661268707	0.0778867751359939	0.1042481809854507	0.0311751529574394	1	0.6224000000000001	0.2513559229459294	140.0	-21.2	0.221665891	0.097838905	0.701236802916926	0.0	0.0	0.0	False
Abhd11	mmu-miR-122-5p	0.0745469123125076	0.0079794558019695	0.0539815127849578	0.0789906159043312	0.0205653995275497	1	0.0	0.0	145.0	-22.44	13.2237770775	9.2944143334	0.504127992273947	0.0	0.0	0.0	False
Abhd2	mmu-miR-122-5p	0.0724669843912124	0.0024580880976586	0.0611218512058258	0.0718112364411354	0.0113451331853866	1	4.7232	1.0644102592515725	145.0	-20.14	63.420798662500005	22.627601958	1.4827835818659516	0.0	0.0	0.0	False
Abi2	mmu-miR-122-5p	0.0903394848108291	0.0053283014979426	0.0610032156109809	0.1079069226980209	0.0293362691998481	1	1.4926	0.5984895989071155	142.0	-22.92	1.2696458064999998	1.0713067832	0.225683867944236	1.0	1.452329615	1.452329615	True
Abl1	mmu-miR-122-5p	0.0929350763559341	0.0017706525103018	0.0690699219703674	0.0932772979140281	0.0238651543855667	1	2.071	0.4020914075182408	151.0	-23.22	3.6215357815	2.7516019324000003	0.3841255033983085	2.0	4.961343263	4.4993176895	True
Acad8	mmu-miR-122-5p	0.0883049339056015	0.0085596719637985	0.0745198801159858	0.1068309247493743	0.0137850537896156	1	0.1278	0.2857694875244731	158.0	-21.42	16.3985298375	23.37768467	-0.5089526657678168	0.0	0.0	0.0	False
Acd	mmu-miR-122-5p	0.0765732154250145	0.0056218316674847	0.0643005967140197	0.0856211110949516	0.0122726187109947	1	0.0	0.0	140.0	-20.66	5.011333689	5.5673836162	-0.1489830799787723	0.0	0.0	0.0	False
Ace3	mmu-miR-122-5p	0.0707502514123916	0.0	0.0707502514123916	0.104265809059143	0.0	1	0.0	0.0	152.0	-25.16	0.0	0.0	0.0	0.0	0.0	0.0	False
Acer2	mmu-miR-122-5p	0.0923797518014907	0.0042183964267454	0.0783506110310554	0.0978917777538299	0.0140291407704353	1	2.1036	0.5364385332915598	143.0	-22.79	3.3641882625	4.2195178778	-0.3183529592784324	1.0	2.506777399	2.506777399	True
Acsl6	mmu-miR-122-5p	0.069149562716484	0.0045911744217129	0.0642320662736892	0.0944107696413993	0.0049174964427947	1	0.1278	0.2857694875244731	146.0	-23.65	0.0	0.152547835	-1.3365566741264645	0.0	0.0	0.0	False
Adad1	mmu-miR-122-5p	0.1158494427800178	0.0	0.1158494427800178	0.1702414155006408	0.0	1	0.0	0.0	151.0	-20.69	0.0	0.0	0.0	0.0	0.0	0.0	False
Adal	mmu-miR-122-5p	0.1413082599639892	0.0025116219059839	0.0621332786977291	0.1392865926027298	0.0791749812662601	1	2.5326	0.9563403159963508	158.0	-20.2	2.90384336	3.8029837106	-0.3777678583145089	0.0	0.0	0.0	False
Adamts12	mmu-miR-122-5p	0.0829650804400444	0.0102189983467359	0.0705268085002899	0.0978312715888023	0.0124382719397544	1	0.3192	0.4807137401822419	163.0	-20.04	0.3456810145	0.0792603608	1.3139549996076951	0.0	0.0	0.0	False
Adamts17	mmu-miR-122-5p	0.0599293127655983	0.0024631017248857	0.0588277801871299	0.0748599916696548	0.0011015325784683	1	0.0	0.0	153.0	-23.24	0.01459575975	0.0194997182	-0.0604535533364393	0.0	0.0	0.0	False
Adamts18	mmu-miR-122-5p	0.0779513344168663	0.0	0.0779513344168663	0.1054456532001495	0.0	1	0.0	0.0	149.0	-23.63	0.0	0.0	0.0	0.0	0.0	0.0	False
Adamts6	mmu-miR-122-5p	0.0911472499370575	0.006118654287992	0.0717136934399604	0.0940013229846954	0.019433556497097	1	0.3848	0.4409622432816669	145.0	-20.46	0.23676855325	0.2859674992	-0.1967219401328779	0.0	0.0	0.0	False
Adamtsl3	mmu-miR-122-5p	0.1008939281105995	0.0046267755183902	0.0961585715413093	0.1162968948483467	0.0047353565692901	1	0.0	0.0	142.0	-21.23	0.07436621125	0.0	0.8021205012108805	0.0	0.0	0.0	False
Adcyap1r1	mmu-miR-122-5p	0.0682661317288875	0.0054122607398461	0.059694055467844	0.0761117488145828	0.0085720762610435	1	0.0	0.0	156.0	-21.18	0.2996460305	0.0741965416	1.19800677791425	0.0	0.0	0.0	False
Adgrb2	mmu-miR-122-5p	0.1247448176145553	0.0	0.1247448176145553	0.1444942206144333	0.0	1	0.0	0.0	170.0	-23.55	0.0706489194999999	0.0	0.7710312797346001	0.0	0.0	0.0	False
Adgre5	mmu-miR-122-5p	0.0857350066304206	0.0021156533724684	0.0602886117994785	0.0759217739105224	0.0254463948309421	1	2.3666	0.5601805958795788	142.0	-24.08	2.9142509702500003	2.3129615396	0.3209946220060396	0.0	0.0	0.0	False
Adgrl1	mmu-miR-122-5p	0.0818183124065399	0.0044561553461379	0.0647420361638069	0.0757548511028289	0.017076276242733	1	0.5346	0.4021694916325702	162.0	-21.03	0.64428695575	0.4399449416	0.4630466491483427	0.0	0.0	0.0	False
Aff1	mmu-miR-122-5p	0.0862705945968627	0.0013681050363651	0.0721158608794212	0.093060165643692	0.0141547337174415	2	2.0894	0.3496759928848419	146.0	-20.41	3.02104035675	2.731265618	0.1405799087464392	2.0	1.559244819	1.205335195	True
Agap1	mmu-miR-122-5p	0.0642369478940963	0.0005046472120558	0.054571621119976	0.0320565588772296	0.0096653267741203	2	0.497	0.1157691668796143	148.0	-22.05	0.680443313	0.4117823158	0.6087635496327375	0.0	0.0	0.0	False
Agl	mmu-miR-122-5p	0.0835139319300651	0.0026971464729993	0.0640514194965362	0.0892729759216308	0.0194625124335288	1	2.6018	0.8245390833671864	148.0	-21.68	5.12533096675	8.0402555504	-0.6395516675089388	3.0	6.757514446	4.04388632	True
Ago2	mmu-miR-122-5p	0.0598296239972114	0.0031955554249325	0.0451922081410884	0.066985860466957	0.0146374158561229	2	1.3672	0.8593952524886322	143.0	-21.03	1.59096452525	1.7220788822000004	-0.1077390244866107	0.0	0.0	0.0	False
Ago3	mmu-miR-122-5p	0.0818578034639358	0.0017368417319091	0.0588139779865741	0.0805315747857093	0.0230438254773616	1	0.6428	0.6258096355921663	142.0	-23.01	0.8371188672500001	0.9006690532	-0.0946609561748401	2.0	3.921814899	1.290297696	True
Agpat3	mmu-miR-122-5p	0.0744757428765297	0.001248703708827	0.0573345646262168	0.0740704908967018	0.0171411782503128	1	1.7292	0.4359652509088311	146.0	-21.06	34.982883395	41.612714922	-0.2497198898192821	2.0	4.231670161	2.9191245976666664	True
Ahrr	mmu-miR-122-5p	0.0671929538249969	0.0033421569438236	0.0642403811216354	0.0955781191587448	0.0029525727033615	1	0.0622	0.1390834282004869	145.0	-20.01	0.081715552	0.1029868088	-0.1597040792783225	0.0	0.0	0.0	False
Aif1	mmu-miR-122-5p	0.0720506340265274	0.0059577182918557	0.0588005445897579	0.1015757769346237	0.0132500894367694	1	0.11	0.2459674775249768	145.0	-22.1	14.685362145	6.3695137696	1.1924403879994885	0.0	0.0	0.0	False
Ak5	mmu-miR-122-5p	0.0679710753262043	0.004001570943647	0.0541586354374885	0.0692621320486068	0.0138124398887157	1	2.7804	0.6588936181205582	140.0	-20.58	0.0444990152499999	0.0151815234	0.3271503524281351	0.0	0.0	0.0	False
Akap10	mmu-miR-122-5p	0.1168186962604522	0.0059728901807618	0.0831248387694358	0.1297695487737655	0.0336938574910163	1	1.7433999999999998	0.7627445837238046	146.0	-20.92	4.56929075375	3.669528397	0.3088193868353547	2.0	3.088173285	2.0312278015	True
Akap7	mmu-miR-122-5p	0.1121345192193985	0.0051853429920091	0.0917246118187904	0.140566885471344	0.020409907400608	1	1.9458	0.6221203259820403	140.0	-21.17	2.08811055525	1.8976195604	0.131403779666874	0.0	0.0	0.0	False
Alad	mmu-miR-122-5p	0.0878139913082122	0.0045539058064734	0.0607968233525753	0.0828287973999977	0.0270171679556369	1	2.746	1.0377140742998523	160.0	-21.13	170.487894125	91.343883306	0.8995566923032405	0.0	0.0	0.0	False
Aldh18a1	mmu-miR-122-5p	0.1357082292437553	0.0189657378225588	0.0991924107074737	0.1389026045799255	0.0365158185362815	1	0.3114	0.2861333605156868	160.0	-22.17	1.12300394325	0.1234120512	2.4526501411690926	0.0	0.0	0.0	False
Aldh1a1	mmu-miR-122-5p	0.0930346250534057	0.0029534514361971	0.0850915983319282	0.1177302971482276	0.0079430267214775	1	1.142	0.6332353432966293	147.0	-20.38	794.6176765	769.2734229800001	0.0467584394737209	1.0	1.803889174	1.803889174	True
Aldh6a1	mmu-miR-122-5p	0.1559548795223236	0.0175589413258332	0.0831098929047584	0.1377916932106018	0.0728449866175651	1	8.267999999999999	0.6362004401130198	141.0	-21.21	125.028807375	222.4445086	-0.830679934446113	0.0	0.0	0.0	False
Alg14	mmu-miR-122-5p	0.0796261847019195	0.0067458605617087	0.0591707490384578	0.1067218631505966	0.0204554356634616	1	1.9492	0.4707618293787209	153.0	-21.13	23.4150946375	20.898523212	0.1632992690581723	0.0	0.0	0.0	False
Alg2	mmu-miR-122-5p	0.1099888950586319	0.0100128337454696	0.0675835311412811	0.1036208048462867	0.0424053639173507	1	2.0882	0.4583974258217426	149.0	-22.86	9.881783255	3.5056976312000003	1.469019157980222	1.0	1.957004327	1.957004327	True
Alpl	mmu-miR-122-5p	0.1317124336957931	0.0049671458232726	0.0937030687928199	0.1046273037791252	0.0380093649029731	2	2.8796	0.5865085677123566	150.0	-21.79	25.961752555	4.6139437524	2.4669276536782205	1.0	3.828705494	3.828705494	True
Alx1	mmu-miR-122-5p	0.0889987424015998	0.0	0.0889987424015998	0.0834653377532959	0.0	1	0.0	0.0	148.0	-24.53	0.0	0.0	0.0	0.0	0.0	0.0	False
Amotl1	mmu-miR-122-5p	0.0658909782767295	0.002411853856341	0.0548892728984355	0.0716058537364006	0.0110017053782939	1	0.9435999999999998	0.5527194586768228	145.0	-21.58	0.77559636175	0.5884884424	0.3468335237328951	0.0	0.0	0.0	False
Anapc10	mmu-miR-122-5p	0.0804112210869789	0.005033965840315	0.0623885579407215	0.0903762876987457	0.0180226631462574	1	0.2432	0.2264502152792087	143.0	-20.75	2.94456126925	2.0721393938	0.487117657354428	0.0	0.0	0.0	False
Angpt2	mmu-miR-122-5p	0.0705200284719467	0.0027554223352651	0.0618169829249382	0.1105110123753547	0.0087030455470085	1	0.0	0.0	146.0	-22.95	0.4215091507499999	0.313466798	0.3349210839775817	0.0	0.0	0.0	False
Angptl4	mmu-miR-122-5p	0.106936776638031	0.0170224110069473	0.0895268768072128	0.1124255359172821	0.0174098998308181	1	0.143	0.3197577207824699	142.0	-27.84	65.8068037175	51.995746588	0.3392618188334985	0.0	0.0	0.0	False
Ankrd34c	mmu-miR-122-5p	0.0549456104636192	0.0	0.0549456104636192	0.1061822175979614	0.0	1	0.0	0.0	141.0	-23.48	0.0	0.0	0.0	0.0	0.0	0.0	False
Anxa9	mmu-miR-122-5p	0.0866117224097251	0.003459847005271	0.0703038796782493	0.0789173617959022	0.0163078427314758	1	0.1972	0.239322376722278	150.0	-21.89	0.955901341	0.3994723874	1.079998213558982	0.0	0.0	0.0	False
Aoah	mmu-miR-122-5p	0.0896249487996101	0.0110929450691342	0.0734274610877037	0.110451802611351	0.0161974877119064	1	0.103	0.2303150016824783	141.0	-20.68	1.1598770995	0.4813551348	1.115791363189972	0.0	0.0	0.0	False
Ap1m1	mmu-miR-122-5p	0.0665671214461326	0.0002007466293689	0.0589945614337921	0.0877197906374931	0.0075725600123405	1	3.3440000000000003	0.5178363641151517	144.0	-20.32	13.734887425	10.593437073	0.3715852676522783	0.0	0.0	0.0	False
Apba1	mmu-miR-122-5p	0.0585163548588752	0.0116093812687863	0.0443204343318939	0.0722496882081031	0.0141959205269813	1	0.0692	0.1547359040429854	148.0	-21.2	0.102377847	0.0726804572	0.2289465584467321	0.0	0.0	0.0	False
Apc	mmu-miR-122-5p	0.0875096395611763	0.0010529578282643	0.0748245418071746	0.1037225872278213	0.0126850977540016	1	0.0	0.0	148.0	-20.86	2.6224533805	3.0745914468000004	-0.2216635922438339	0.0	0.0	0.0	False
Apcdd1	mmu-miR-122-5p	0.0551028631627559	0.0041534392879528	0.0525769181549549	0.0758042931556701	0.002525945007801	1	0.0	0.0	140.0	-21.23	0.097150372	0.0	0.9792964326473468	0.0	0.0	0.0	False
Api5	mmu-miR-122-5p	0.124171507358551	0.0004661971497232	0.0984476208686828	0.1248766034841537	0.0257238864898681	1	4.1806	0.550017545174697	144.0	-26.44	22.6853536225	25.043573222	-0.1420829286984685	2.0	4.872905298	2.3751630385	True
Apobec1	mmu-miR-122-5p	0.1162937328219413	0.0047439707178171	0.0758207738399505	0.1078725010156631	0.0404729589819908	1	3.486	0.6161578531512848	149.0	-20.71	15.4609345575	6.7154630724	1.1910451197114609	3.0	3.533249611	2.5844809200000003	True
Apoc3	mmu-miR-122-5p	0.0983796939253807	0.0047919162941178	0.0740590095520019	0.0808478444814682	0.0243206843733787	1	2.2182	0.8143203914921939	158.0	-23.15	4197.28306625	4020.04578	0.0622423161852796	0.0	0.0	0.0	False
App	mmu-miR-122-5p	0.0663767784833908	0.0016756084231226	0.0598750375211238	0.0793868973851203	0.0065017409622669	1	0.0	0.0	143.0	-21.45	37.0501437375	22.860966086	0.6941844478062421	0.0	0.0	0.0	False
Appl1	mmu-miR-122-5p	0.0834804847836494	0.0022133684634974	0.0741570144891738	0.1053716465830802	0.0093234702944755	1	2.2886	0.614997398368481	154.0	-21.78	3.9812949525	4.0108829398	-0.0104213137751634	0.0	0.0	0.0	False
Aprt	mmu-miR-122-5p	0.1382933914661407	0.0034193278042631	0.1044939756393432	0.1482657343149185	0.0337994158267974	1	0.6341999999999999	0.1770895253819378	142.0	-22.56	59.5401003025	31.744286286	0.9052481461965992	0.0	0.0	0.0	False
Ar	mmu-miR-122-5p	0.0814407899975776	0.0059976057828414	0.0692455917596817	0.082768402993679	0.0121951982378959	1	0.071	0.158760826402485	142.0	-20.7	0.07590521375	0.1235721566	-0.345942283647204	0.0	0.0	0.0	False
Arf3	mmu-miR-122-5p	0.0534587174654006	0.0006480865051673	0.0501288883388042	0.0683190003037452	0.0033298291265964	1	0.0	0.0	153.0	-20.5	21.702495395	14.398499794	0.5885896397702071	2.0	1.638021933	1.617370729	True
Arglu1	mmu-miR-122-5p	0.0946347802877426	0.0039138647311458	0.0765525177121162	0.1148954182863235	0.0180822625756263	1	0.0	0.0	160.0	-22.35	20.4346546275	21.316678286	-0.0606740534775126	0.0	0.0	0.0	False
Arhgap1	mmu-miR-122-5p	0.0734891027212143	0.0033875056774031	0.0611789040267467	0.0776599869132042	0.0123101986944675	1	1.9034	0.9841022812695844	157.0	-20.07	5.55051891875	1.0674137456	2.2750674040593077	2.0	2.184849304	2.17588835	True
Arhgap21	mmu-miR-122-5p	0.157466447353363	0.0091683940948883	0.1143109127879142	0.14201720058918	0.0431555345654487	1	0.0237999999999999	0.0532184178644949	145.0	-22.1	4.064035919	3.7228182834	0.1233458896911157	0.0	0.0	0.0	False
Arhgap31	mmu-miR-122-5p	0.0727656722068786	0.0038011862619191	0.0659677609801292	0.0899140760302543	0.0067979112267494	1	1.1817999999999995	0.7130706136141076	140.0	-20.57	0.90312458825	0.8162262794	0.1307249518029906	1.0	-0.341219507	-0.341219507	True
Arhgap42	mmu-miR-122-5p	0.0923769369721412	0.0069594903606843	0.0710522234439849	0.0896572470664978	0.0213247135281562	2	0.1214	0.177622633692894	147.0	-22.27	8.442104133250002	12.83805781	-0.5989576736509997	0.0	0.0	0.0	False
Arhgef10	mmu-miR-122-5p	0.1004474312067031	0.0048197946948835	0.0992362201213836	0.0998477637767791	0.0012112110853195	1	0.1754	0.392206323253463	161.0	-20.2	0.4799437482499999	0.2464016162	0.7434673113192117	0.0	0.0	0.0	False
Arhgef17	mmu-miR-122-5p	0.0766293823719024	0.0039085045224952	0.0601788982748985	0.0829629376530647	0.0164504840970039	1	0.7894	0.7652495017966362	151.0	-23.71	0.63528053925	0.314315281	0.8275657699084308	0.0	0.0	0.0	False
Arhgef3	mmu-miR-122-5p	0.10776387155056	0.0023579809060456	0.068354494869709	0.1016492173075676	0.0394093766808509	1	3.0056000000000003	0.5545180790560396	150.0	-21.38	12.7198561925	10.091632584	0.3309949051240614	1.0	1.603638938	1.603638938	True
Arid5a	mmu-miR-122-5p	0.0710723370313644	0.0034757598718587	0.059212502092123	0.0749573707580566	0.0118598349392414	1	0.1434	0.3206521479734698	143.0	-21.5	0.2263101745	0.2610968997999999	-0.1461420620510197	0.0	0.0	0.0	False
Arl14epl	mmu-miR-122-5p	0.0634574070572853	0.0	0.0634574070572853	0.0843235775828361	0.0	1	0.0	0.0	140.0	-20.82	0.0333441364999999	0.036675618	-0.0356015118156976	0.0	0.0	0.0	False
Arrdc2	mmu-miR-122-5p	0.1067680656909942	0.0058758895233766	0.0855897516012191	0.1170482262969017	0.021178314089775	1	1.983	0.6936804019143109	148.0	-22.26	3.74973830675	2.9489078760000003	0.3364678198290411	0.0	0.0	0.0	False
Arrdc4	mmu-miR-122-5p	0.1078403308987617	0.0081074295067459	0.0799641087651252	0.10752934217453	0.0278762221336364	1	3.026	0.899936942235399	145.0	-21.64	4.83440611	6.608709908	-0.4431589045418077	0.0	0.0	0.0	False
Asb13	mmu-miR-122-5p	0.0948172703385353	0.0066238751630456	0.07080839574337	0.0874938666820526	0.0240088745951652	2	0.359	0.3237375480230861	149.0	-22.58	16.98876649	22.32012837	-0.3917462751181996	0.0	0.0	0.0	False
Asphd2	mmu-miR-122-5p	0.0952996030449867	0.0035308199914407	0.0896830409765243	0.0264948457479476	0.0056165620684623	2	0.0	0.0	159.0	-24.98	0.0	0.0	0.0	0.0	0.0	0.0	False
Atf2	mmu-miR-122-5p	0.0785816237330436	0.0208313638748438	0.061616588383913	0.0988696292042732	0.0169650353491306	1	0.2412	0.3312562452241467	152.0	-21.18	2.6852141027500003	2.6560008964	0.015211876242504	0.0	0.0	0.0	False
Atg12	mmu-miR-122-5p	0.0829242900013923	0.0027648742416415	0.0637886524200439	0.0907740667462349	0.0191356375813484	1	4.3264	0.6740213646465519	147.0	-21.98	24.387701425	17.240307162	0.4979279051763882	2.0	2.670753134	2.503802766	True
Atg13	mmu-miR-122-5p	0.0724933460354805	0.0129077421638951	0.049364797770977	0.0714082047343254	0.0231285482645034	1	0.2162	0.4834378967354546	144.0	-20.14	12.018615945	13.315870872	-0.1467157686535705	2.0	0.974282318	-0.344432642	True
Atg14	mmu-miR-122-5p	0.0792353332042694	0.0060056995618808	0.0805989056825637	0.0996062755584716	-0.0013635724782943	1	2.8668	0.8192436755935318	145.0	-21.23	5.102915499750001	6.4168343962	-0.3248510573174652	0.0	0.0	0.0	False
Atg4d	mmu-miR-122-5p	0.0734260201454162	0.0028458077007852	0.063583567738533	0.0704974681138992	0.0098424524068832	1	0.103	0.2303150016824783	149.0	-21.1	9.7271868045	9.151678727199998	0.0870633122711741	0.0	0.0	0.0	False
Atl3	mmu-miR-122-5p	0.1034838765859604	0.0032100590694488	0.0641212165355682	0.0895162895321846	0.0393626600503921	1	4.628	0.5766875237075969	145.0	-20.88	33.3096138475	29.916231896	0.1545204291006269	0.0	0.0	0.0	False
Atm	mmu-miR-122-5p	0.1001972422003746	0.0026462698190824	0.0636792853474617	0.1130228042602539	0.0365179568529129	1	2.2696	0.7295624030883171	143.0	-20.13	1.55704089325	1.8527592254	-0.2369048698253485	0.0	0.0	0.0	False
Atp11a	mmu-miR-122-5p	0.0726946651935577	0.0063612540527436	0.0667305365204811	0.0799089446663856	0.0059641286730766	1	0.8321999999999999	0.8231082553346188	148.0	-21.16	1.40230877475	0.12738088762	2.723998465988926	1.0	-0.103720194	-0.103720194	True
Atp13a5	mmu-miR-122-5p	0.0831703558564186	0.0095574815005788	0.0788961201906204	0.1064803823828697	0.0042742356657981	1	0.0	0.0	157.0	-22.25	0.02850532325	0.0104432427999999	0.2185229697453768	0.0	0.0	0.0	False
Atp1b1	mmu-miR-122-5p	0.1178700283169746	0.0037684099180949	0.076476901769638	0.1409687995910644	0.0413931265473365	1	4.711	0.8753979095245772	164.0	-21.54	62.398574925	29.700465778	1.0684884141931756	1.0	2.174057248	2.174057248	True
Atp2b1	mmu-miR-122-5p	0.0891200348734855	0.0178614852356913	0.072402611374855	0.1150695383548736	0.0167174234986305	1	2.5318	1.0624180909604275	155.0	-22.16	7.30511857775	7.316726910999999	-0.0022598114721498	0.0	0.0	0.0	False
Atp2b2	mmu-miR-122-5p	0.0662081032991409	0.0017442933347644	0.0593524239957332	0.0717281401157379	0.0068556793034076	1	0.0	0.0	152.0	-25.34	1.26765919475	0.4371804686000001	1.3482300159377276	1.0	3.372476308	3.372476308	True
Atp8a1	mmu-miR-122-5p	0.0814442545175552	0.0075185327936849	0.0712808519601821	0.0938725620508194	0.010163402557373	2	1.2386	0.7064097960815662	154.0	-23.12	0.85523883575	0.6656006796	0.3192693808797464	0.0	0.0	0.0	False
Atxn1l	mmu-miR-122-5p	0.0658285945653915	0.0036092987765942	0.0522531978785991	0.0794472992420196	0.0135753966867923	1	1.8838	0.4310512730522901	141.0	-21.12	4.7769498385	3.7957158586	0.3240906781513475	1.0	3.93676524	3.93676524	True
Aven	mmu-miR-122-5p	0.0687608391046524	0.0083420856227025	0.054649468511343	0.0922103002667427	0.0141113705933094	1	0.0689999999999999	0.1542886904474854	155.0	-21.81	6.738587175249999	7.1189984726	-0.0781003978972531	0.0	0.0	0.0	False
Avil	mmu-miR-122-5p	0.1034071773290634	0.0117549352613396	0.0951446816325187	0.119251474738121	0.0082624956965446	1	0.0752	0.1681523119079842	151.0	-23.28	0.10705475625	0.004003284	0.9933832596852712	0.0	0.0	0.0	False
Avl9	mmu-miR-122-5p	0.0943969085812568	0.0019541391436592	0.0768937617540359	0.1045721247792244	0.0175031468272209	1	3.3408	0.7069803391891462	147.0	-21.67	7.46893222075	4.9478350188	0.584425029175262	1.0	4.461548145	4.461548145	True
B3gnt3	mmu-miR-122-5p	0.0763722360134124	0.0024386981640449	0.0573213584721088	0.0828050822019577	0.0190508775413036	1	0.6148	0.5093021696399889	141.0	-21.46	0.99342612025	0.7251589484000001	0.4061117906583497	0.0	0.0	0.0	False
B4galt1	mmu-miR-122-5p	0.0724680349230766	0.0015702609554069	0.0746560990810394	0.0953575149178505	-0.0021880641579627	1	3.4794000000000005	0.3132216467615225	145.0	-20.85	15.518437815	11.007589694599998	0.4917043684101286	2.0	3.354774306	3.2804035596666665	True
B4galt6	mmu-miR-122-5p	0.1024184852838516	0.0106623987571979	0.0779805108904838	0.108735516667366	0.0244379743933677	1	0.508	0.5867499467405174	151.0	-26.72	1.58225893925	0.5521946228000001	1.3670253358647275	1.0	-3.055465025	-3.055465025	True
BC004004	mmu-miR-122-5p	0.0655195504426956	0.0048206114967276	0.0653962716460228	0.0235582925379276	0.0001232787966728	1	0.071	0.158760826402485	164.0	-24.21	78.4665211025	55.798995116	0.4910923315141003	0.0	0.0	0.0	False
Bace2	mmu-miR-122-5p	0.0754907965660095	0.003262267283604	0.0652653947472572	0.0799117311835289	0.0102254018187522	1	0.3298	0.4437033919185202	153.0	-23.79	2.62438212925	1.5745764068	0.7021328697041794	0.0	0.0	0.0	False
