gene,miRNA,predicted_rs,coverage_effect,coverage_dependence,n_sites,site_coverage,coverage_tier,window_start,window_end
IL6ST,hsa-miR-12114,0.0854320153594017,0.0341,Medium,1,1.917,Medium,0,5987
IL6ST,hsa-miR-378h,0.0853659585118293,0.0324,Medium,1,1.734,Medium,0,5987
IL6ST,hsa-miR-4444,0.085084393620491,0.0342,Medium,1,2.27,Medium,0,5987
IL6ST,hsa-miR-12120,0.0846787020564079,0.0366,High,1,6.065,High,0,5987
IL6ST,hsa-miR-6774-5p,0.0843890458345413,0.0351,High,1,1.721,Medium,0,5987
IL6ST,hsa-miR-378e,0.0843822136521339,0.0334,Medium,1,1.734,Medium,0,5987
IL6ST,hsa-miR-4506,0.0843220204114914,0.0339,Medium,1,5.369,High,0,5987
IL6ST,hsa-miR-152-3p,0.0840531215071678,0.0351,High,1,4.819,High,0,5987
IL6ST,hsa-miR-378a-3p,0.0838800892233848,0.0334,Medium,1,1.734,Medium,0,5987
IL6ST,hsa-miR-6133,0.0838049054145813,0.0337,Medium,1,1.732,Medium,0,5987
IL6ST,hsa-miR-4793-5p,0.0837625935673713,0.0335,Medium,1,4.857,High,0,5987
IL6ST,hsa-miR-6855-5p,0.0835883095860481,0.0345,Medium,1,5.863,High,0,5987
IL6ST,hsa-miR-571,0.0831383243203163,0.0335,Medium,1,2.246,Medium,0,5987
IL6ST,hsa-miR-6857-5p,0.0829072445631027,0.0335,Medium,1,5.414,High,0,5987
IL6ST,hsa-miR-8086,0.0826068073511123,0.0338,Medium,2,5.482,High,0,5987
IL6ST,hsa-miR-513c-5p,0.0820836350321769,0.0343,Medium,1,1.823,Medium,0,5987
IL6ST,hsa-miR-153-3p,0.0817565619945526,0.0335,Medium,1,1.227,Medium,0,5987
IL6ST,hsa-miR-298,0.0815972685813903,0.0357,High,2,5.467,High,0,5987
IL6ST,hsa-miR-6893-3p,0.0814266428351402,0.0326,Medium,1,2.125,Medium,0,5987
IL6ST,hsa-miR-6894-5p,0.0813224092125892,0.0351,High,1,1.746,Medium,0,5987
IL6ST,hsa-miR-4690-3p,0.0812448188662529,0.0326,Medium,1,5.696,High,0,5987
IL6ST,hsa-miR-4451,0.0808532610535621,0.0333,Medium,1,5.874,High,0,5987
IL6ST,hsa-miR-502-5p,0.0807090252637863,0.0336,Medium,1,5.743,High,0,5987
IL6ST,hsa-miR-5581-5p,0.0806883499026298,0.0364,High,1,5.518,High,0,5987
IL6ST,hsa-miR-4739,0.0804707184433937,0.0343,Medium,1,1.735,Medium,0,5987
IL6ST,hsa-miR-6766-5p,0.0804200023412704,0.0355,High,1,1.898,Medium,0,5987
IL6ST,hsa-miR-1972,0.0801010578870773,0.0318,Medium,1,1.854,Medium,0,5987
IL6ST,hsa-miR-4722-5p,0.0799238160252571,0.0349,Medium,1,2.01,Medium,0,5987
IL6ST,hsa-miR-4287,0.0795749127864837,0.0303,Medium,2,4.066,High,0,5987
IL6ST,hsa-miR-6742-3p,0.0794920325279235,0.0322,Medium,1,6.12,High,0,5987
IL6ST,hsa-miR-4665-5p,0.0794780924916267,0.0326,Medium,1,5.4,High,0,5987
IL6ST,hsa-miR-4674,0.0794562473893165,0.0296,Medium,2,3.757,High,0,5987
IL6ST,hsa-miR-3649,0.0792341455817222,0.0331,Medium,1,5.537,High,0,5987
IL6ST,hsa-miR-422a,0.0789733976125717,0.0325,Medium,1,1.734,Medium,0,5987
IL6ST,hsa-miR-6831-5p,0.0783378928899765,0.0339,Medium,1,5.872,High,0,5987
IL6ST,hsa-miR-4700-3p,0.077683113515377,0.0313,Medium,1,2.27,Medium,0,5987
IL6ST,hsa-miR-6797-5p,0.0775449648499488,0.0345,Medium,1,1.732,Medium,0,5987
IL6ST,hsa-miR-541-3p,0.0774570181965828,0.0316,Medium,1,1.898,Medium,0,5987
IL6ST,hsa-miR-125a-5p,0.0766577646136283,0.0322,Medium,1,5.416,High,0,5987
IL6ST,hsa-miR-3670,0.0763465166091919,0.0314,Medium,1,5.398,High,0,5987
IL6ST,hsa-miR-509-3-5p,0.0759803354740142,0.032,Medium,1,5.702,High,0,5987
IL6ST,hsa-miR-6862-3p,0.0759186223149299,0.0284,Medium,1,5.398,High,0,5987
IL6ST,hsa-miR-6830-5p,0.0757613480091095,0.0332,Medium,1,5.849,High,0,5987
IL6ST,hsa-miR-5685,0.0757549479603767,0.0326,Medium,1,5.696,High,0,5987
IL6ST,hsa-miR-6784-3p,0.07432172447443,0.0296,Medium,1,5.398,High,0,5987
IL6ST,hsa-miR-7112-3p,0.0742208436131477,0.0311,Medium,1,5.535,High,0,5987
IL6ST,hsa-miR-3132,0.0741675198078155,0.0321,Medium,1,5.369,High,0,5987
IL6ST,hsa-miR-4429,0.0733796656131744,0.0312,Medium,1,5.792,High,0,5987
IL6ST,hsa-miR-6890-5p,0.0733584761619567,0.0305,Medium,1,5.709,High,0,5987
IL6ST,hsa-miR-1909-5p,0.0732922255992889,0.0285,Medium,1,5.509,High,0,5987
IL6ST,hsa-miR-661,0.0728758201003074,0.0272,Medium,1,6.12,High,0,5987
IL6ST,hsa-miR-12129,0.0720531567931175,0.0302,Medium,1,5.417,High,0,5987
IL6ST,hsa-miR-4319,0.0708737671375274,0.0303,Medium,1,5.398,High,0,5987
IL6ST,hsa-miR-6807-3p,0.0676166713237762,0.0278,Medium,1,5.84,High,0,5987
IL6ST,hsa-miR-6830-3p,0.0674042776226997,0.0274,Medium,1,1.748,Medium,0,5987
IL6ST,hsa-miR-10400-3p,0.0635045915842056,0.0258,Medium,2,3.8,High,0,5987
IL6ST,hsa-miR-6512-3p,0.060689553618431,0.0281,Medium,1,5.696,High,0,5987
