Gene_ID,miRNA_ID,utr_pos
ARCN1,hsa-miR-6736-3p,0
ARCN1,hsa-miR-6751-5p,137
ARCN1,hsa-miR-6752-5p,139
ARCN1,hsa-miR-6779-5p,590
ARCN1,hsa-miR-6780a-5p,585
ARCN1,hsa-miR-6781-3p,1699
ARCN1,hsa-miR-6791-3p,1370
ARCN1,hsa-miR-6794-5p,1524
ARCN1,hsa-miR-6799-5p,1246
ARCN1,hsa-miR-6803-5p,138
ARCN1,hsa-miR-6808-5p,439
ARCN1,hsa-miR-6810-5p,1488
ARCN1,hsa-miR-6824-5p,1872
ARCN1,hsa-miR-6833-5p,1912
ARCN1,hsa-miR-6840-3p,428
ARCN1,hsa-miR-6842-5p,138
ARCN1,hsa-miR-6847-3p,611
ARCN1,hsa-miR-6849-3p,541
ARCN1,hsa-miR-6851-5p,1240
ARCN1,hsa-miR-6854-5p,555
ARCN1,hsa-miR-6860,537
ARCN1,hsa-miR-6864-3p,359
ARCN1,hsa-miR-6884-5p,449
ARCN1,hsa-miR-6886-3p,1935
ARCN1,hsa-miR-6890-3p,1691
ARCN1,hsa-miR-6890-5p,1451
ARCN1,hsa-miR-6891-5p,1286
ARCN1,hsa-miR-6893-3p,232
ARCN1,hsa-miR-7108-5p,1206
ARCN1,hsa-miR-7110-5p,138
ARCN1,hsa-miR-7113-3p,1327
ARCN1,hsa-miR-7156-3p,1676
ARCN1,hsa-miR-7160-5p,448
ARCN1,hsa-miR-8052,1275
ARCN1,hsa-miR-877-3p,1698
ARCN1,hsa-miR-885-5p,2255
ARCN1,hsa-miR-92b-5p,1771
ARRDC3,hsa-miR-1263,1586
ARRDC3,hsa-miR-1271-3p,1036
ARRDC3,hsa-miR-1285-3p,96
ARRDC3,hsa-miR-138-5p,1039
ARRDC3,hsa-miR-146a-3p,73
ARRDC3,hsa-miR-3065-3p,2540
ARRDC3,hsa-miR-325,537
ARRDC3,hsa-miR-4446-5p,1135
ARRDC3,hsa-miR-449c-5p,793
ARRDC3,hsa-miR-4667-3p,1135
ARRDC3,hsa-miR-4687-5p,1054
ARRDC3,hsa-miR-4709-3p,563
ARRDC3,hsa-miR-4753-5p,1835
ARRDC3,hsa-miR-498-3p,1772
ARRDC3,hsa-miR-498-5p,175
ARRDC3,hsa-miR-5007-5p,388
ARRDC3,hsa-miR-507,1212
ARRDC3,hsa-miR-513a-3p,925
ARRDC3,hsa-miR-513c-3p,925
ARRDC3,hsa-miR-5193,694
ARRDC3,hsa-miR-520f-5p,2325
ARRDC3,hsa-miR-548aj-5p,89
ARRDC3,hsa-miR-548g-5p,89
ARRDC3,hsa-miR-548j-5p,85
ARRDC3,hsa-miR-548x-5p,89
ARRDC3,hsa-miR-612,89
ARRDC3,hsa-miR-642a-5p,272
ARRDC3,hsa-miR-6734-5p,2026
ARRDC3,hsa-miR-6757-3p,1901
ARRDC3,hsa-miR-6796-5p,1729
ARRDC3,hsa-miR-6827-5p,1951
ARRDC3,hsa-miR-6881-3p,689
ARRDC3,hsa-miR-6894-3p,1036
ARRDC3,hsa-miR-7161-3p,172
ARRDC3,hsa-miR-942-5p,47
BLMH,hsa-miR-103a-3p,417
BLMH,hsa-miR-107,417
BLMH,hsa-miR-12127,121
BLMH,hsa-miR-144-5p,730
BLMH,hsa-miR-2355-5p,705
BLMH,hsa-miR-298,687
BLMH,hsa-miR-29a-3p,756
BLMH,hsa-miR-29b-3p,755
BLMH,hsa-miR-29c-3p,756
BLMH,hsa-miR-3065-3p,757
BLMH,hsa-miR-3135b,0
BLMH,hsa-miR-3192-3p,525
BLMH,hsa-miR-3670,400
BLMH,hsa-miR-3679-3p,182
BLMH,hsa-miR-3692-3p,695
BLMH,hsa-miR-424-5p,425
BLMH,hsa-miR-4308,47
BLMH,hsa-miR-4469,385
BLMH,hsa-miR-4476,544
BLMH,hsa-miR-4487,2
BLMH,hsa-miR-4533,4
BLMH,hsa-miR-4639-5p,236
BLMH,hsa-miR-4717-5p,394
BLMH,hsa-miR-4756-3p,573
BLMH,hsa-miR-5047,29
BLMH,hsa-miR-5190,458
BLMH,hsa-miR-5192,207
BLMH,hsa-miR-5704,393
BLMH,hsa-miR-584-3p,411
BLMH,hsa-miR-6088,216
BLMH,hsa-miR-623,70
BLMH,hsa-miR-6511a-5p,690
BLMH,hsa-miR-6753-3p,348
BLMH,hsa-miR-6774-5p,500
BLMH,hsa-miR-6817-5p,450
BLMH,hsa-miR-6818-3p,602
BLMH,hsa-miR-6819-3p,599
BLMH,hsa-miR-6833-3p,340
BLMH,hsa-miR-6858-5p,208
BLMH,hsa-miR-6862-3p,612
BLMH,hsa-miR-6865-3p,386
BLMH,hsa-miR-6876-5p,542
BLMH,hsa-miR-6880-5p,111
BLMH,hsa-miR-6891-5p,4
BLMH,hsa-miR-7107-3p,346
BLMH,hsa-miR-7156-5p,620
BLMH,hsa-miR-766-5p,5
BLMH,hsa-miR-767-5p,753
BLMH,hsa-miR-892a,94
BLMH,hsa-miR-943,95
CCDC43,hsa-miR-1178-3p,901
CCDC43,hsa-miR-1321,349
CCDC43,hsa-miR-145-5p,761
CCDC43,hsa-miR-149-3p,348
CCDC43,hsa-miR-1972,1194
CCDC43,hsa-miR-199a-3p,1059
CCDC43,hsa-miR-199b-3p,1059
CCDC43,hsa-miR-2682-3p,443
CCDC43,hsa-miR-3129-5p,1059
CCDC43,hsa-miR-3153,0
CCDC43,hsa-miR-362-5p,641
CCDC43,hsa-miR-3677-5p,256
CCDC43,hsa-miR-3926,255
CCDC43,hsa-miR-4270,351
CCDC43,hsa-miR-4433b-3p,1331
CCDC43,hsa-miR-4441,355
CCDC43,hsa-miR-4494,1090
CCDC43,hsa-miR-450a-1-3p,75
CCDC43,hsa-miR-4516,969
CCDC43,hsa-miR-4518,345
CCDC43,hsa-miR-4691-5p,1196
CCDC43,hsa-miR-4710,281
CCDC43,hsa-miR-4756-3p,1215
CCDC43,hsa-miR-4796-3p,253
CCDC43,hsa-miR-519e-5p,758
CCDC43,hsa-miR-532-3p,564
CCDC43,hsa-miR-552-5p,1277
CCDC43,hsa-miR-6071,984
CCDC43,hsa-miR-625-5p,7
CCDC43,hsa-miR-663b,216
CCDC43,hsa-miR-6754-5p,346
CCDC43,hsa-miR-6785-5p,348
CCDC43,hsa-miR-6792-3p,1199
CCDC43,hsa-miR-6795-5p,2
CCDC43,hsa-miR-6815-5p,215
CCDC43,hsa-miR-6824-5p,91
CCDC43,hsa-miR-6883-5p,346
CCDC43,hsa-miR-6887-5p,3
CCDC43,hsa-miR-7161-3p,195
CEP350,hsa-miR-1207-5p,1360
CEP350,hsa-miR-122-5p,1650
CEP350,hsa-miR-1249-5p,1606
CEP350,hsa-miR-1265,2007
CEP350,hsa-miR-1295b-3p,2978
CEP350,hsa-miR-1910-3p,34
CEP350,hsa-miR-198,80
CEP350,hsa-miR-205-3p,2187
CEP350,hsa-miR-219b-3p,3271
CEP350,hsa-miR-2276-3p,1252
CEP350,hsa-miR-2276-5p,257
CEP350,hsa-miR-3064-3p,2259
CEP350,hsa-miR-3125,2632
CEP350,hsa-miR-3153,863
CEP350,hsa-miR-3159,220
CEP350,hsa-miR-3162-5p,2589
CEP350,hsa-miR-3169,1386
CEP350,hsa-miR-3183,331
CEP350,hsa-miR-3192-5p,770
CEP350,hsa-miR-324-3p,1203
CEP350,hsa-miR-325,244
CEP350,hsa-miR-326,257
CEP350,hsa-miR-328-3p,260
CEP350,hsa-miR-330-5p,249
CEP350,hsa-miR-3614-5p,545
CEP350,hsa-miR-3646,496
CEP350,hsa-miR-3907,592
CEP350,hsa-miR-4293,564
CEP350,hsa-miR-4294,2291
CEP350,hsa-miR-4309,1309
CEP350,hsa-miR-4314,258
CEP350,hsa-miR-4433a-3p,732
CEP350,hsa-miR-4436b-5p,824
CEP350,hsa-miR-4490,1808
CEP350,hsa-miR-4516,2592
CEP350,hsa-miR-4695-5p,37
CEP350,hsa-miR-4700-3p,1385
CEP350,hsa-miR-4709-3p,1397
CEP350,hsa-miR-4717-5p,2977
CEP350,hsa-miR-4722-5p,734
CEP350,hsa-miR-4731-3p,3440
CEP350,hsa-miR-4740-5p,1386
CEP350,hsa-miR-4763-3p,1353
CEP350,hsa-miR-4776-3p,815
CEP350,hsa-miR-486-5p,2781
CEP350,hsa-miR-497-3p,3570
CEP350,hsa-miR-5000-3p,2277
CEP350,hsa-miR-5001-3p,2334
CEP350,hsa-miR-5003-5p,2972
CEP350,hsa-miR-548az-5p,357
CEP350,hsa-miR-5585-3p,1032
CEP350,hsa-miR-5589-5p,2497
CEP350,hsa-miR-5680,1813
CEP350,hsa-miR-574-5p,1646
CEP350,hsa-miR-5787,2499
CEP350,hsa-miR-588,1939
CEP350,hsa-miR-640,2347
CEP350,hsa-miR-650,38
CEP350,hsa-miR-6511a-5p,31
CEP350,hsa-miR-6515-5p,1604
CEP350,hsa-miR-659-5p,1461
CEP350,hsa-miR-6732-3p,204
CEP350,hsa-miR-6747-5p,237
CEP350,hsa-miR-6760-5p,2588
CEP350,hsa-miR-6772-5p,48
CEP350,hsa-miR-6782-5p,239
CEP350,hsa-miR-6789-5p,667
CEP350,hsa-miR-6797-5p,1603
CEP350,hsa-miR-6799-3p,702
CEP350,hsa-miR-6804-5p,2598
CEP350,hsa-miR-6808-5p,1358
CEP350,hsa-miR-6840-3p,25
CEP350,hsa-miR-6844,659
CEP350,hsa-miR-6856-5p,1247
CEP350,hsa-miR-6871-5p,860
CEP350,hsa-miR-6872-3p,814
CEP350,hsa-miR-6873-5p,2565
CEP350,hsa-miR-6875-5p,1397
CEP350,hsa-miR-6893-5p,1361
CEP350,hsa-miR-7110-3p,332
CEP350,hsa-miR-7845-5p,1394
CEP350,hsa-miR-8075,2649
CEP350,hsa-miR-887-3p,1378
CEP350,hsa-miR-940,1359
CYB561D1,hsa-let-7a-5p,4066
CYB561D1,hsa-let-7b-5p,4063
CYB561D1,hsa-let-7c-5p,4065
CYB561D1,hsa-let-7e-5p,4066
CYB561D1,hsa-miR-10394-5p,3996
CYB561D1,hsa-miR-10398-3p,1515
CYB561D1,hsa-miR-10523-5p,1698
CYB561D1,hsa-miR-11181-3p,1952
CYB561D1,hsa-miR-11400,1996
CYB561D1,hsa-miR-1184,881
CYB561D1,hsa-miR-1199-5p,968
CYB561D1,hsa-miR-1207-3p,1169
CYB561D1,hsa-miR-12118,3557
CYB561D1,hsa-miR-12127,3166
CYB561D1,hsa-miR-1226-3p,1968
CYB561D1,hsa-miR-1226-5p,2287
CYB561D1,hsa-miR-1249-5p,897
CYB561D1,hsa-miR-125a-3p,1777
CYB561D1,hsa-miR-1265,2295
CYB561D1,hsa-miR-127-3p,868
CYB561D1,hsa-miR-127-5p,3502
CYB561D1,hsa-miR-1271-3p,689
CYB561D1,hsa-miR-1273h-5p,1954
CYB561D1,hsa-miR-128-3p,698
CYB561D1,hsa-miR-1287-5p,3246
CYB561D1,hsa-miR-1291,879
CYB561D1,hsa-miR-1293,1204
CYB561D1,hsa-miR-1295b-5p,3870
CYB561D1,hsa-miR-1301-3p,2380
CYB561D1,hsa-miR-1343-3p,1436
CYB561D1,hsa-miR-138-5p,1884
CYB561D1,hsa-miR-146b-3p,682
CYB561D1,hsa-miR-149-3p,902
CYB561D1,hsa-miR-149-5p,1349
CYB561D1,hsa-miR-15a-5p,1362
CYB561D1,hsa-miR-15b-5p,1362
CYB561D1,hsa-miR-16-5p,1366
CYB561D1,hsa-miR-17-3p,107
CYB561D1,hsa-miR-1825,2156
CYB561D1,hsa-miR-1827,3204
CYB561D1,hsa-miR-184,4016
CYB561D1,hsa-miR-185-5p,2975
CYB561D1,hsa-miR-188-3p,3403
CYB561D1,hsa-miR-18a-3p,1577
CYB561D1,hsa-miR-1909-3p,1662
CYB561D1,hsa-miR-1910-3p,3174
CYB561D1,hsa-miR-1910-5p,1265
CYB561D1,hsa-miR-1913,1037
CYB561D1,hsa-miR-1914-3p,1084
CYB561D1,hsa-miR-1914-5p,680
CYB561D1,hsa-miR-1915-3p,2046
CYB561D1,hsa-miR-195-5p,1364
CYB561D1,hsa-miR-196b-3p,2093
CYB561D1,hsa-miR-1976,783
CYB561D1,hsa-miR-19a-3p,2635
CYB561D1,hsa-miR-19b-3p,2635
CYB561D1,hsa-miR-203b-5p,567
CYB561D1,hsa-miR-204-3p,1128
CYB561D1,hsa-miR-210-5p,1444
CYB561D1,hsa-miR-2110,1234
CYB561D1,hsa-miR-2114-3p,1840
CYB561D1,hsa-miR-2114-5p,710
CYB561D1,hsa-miR-2116-3p,2883
CYB561D1,hsa-miR-212-5p,1023
CYB561D1,hsa-miR-2276-3p,3520
CYB561D1,hsa-miR-2276-5p,1676
CYB561D1,hsa-miR-2355-5p,2903
CYB561D1,hsa-miR-2392,2418
CYB561D1,hsa-miR-24-3p,1347
CYB561D1,hsa-miR-2467-3p,3168
CYB561D1,hsa-miR-26a-5p,210
CYB561D1,hsa-miR-26b-5p,211
CYB561D1,hsa-miR-296-5p,2086
CYB561D1,hsa-miR-30b-3p,1950
CYB561D1,hsa-miR-30c-1-3p,545
CYB561D1,hsa-miR-3127-3p,2051
CYB561D1,hsa-miR-3135b,2350
CYB561D1,hsa-miR-3144-5p,3875
CYB561D1,hsa-miR-3150a-3p,2979
CYB561D1,hsa-miR-3150b-3p,1808
CYB561D1,hsa-miR-3154,953
CYB561D1,hsa-miR-3173-5p,885
CYB561D1,hsa-miR-3174,3013
CYB561D1,hsa-miR-3175,2978
CYB561D1,hsa-miR-3188,210
CYB561D1,hsa-miR-3190-3p,3049
CYB561D1,hsa-miR-3192-5p,1950
CYB561D1,hsa-miR-3202,3006
CYB561D1,hsa-miR-324-3p,3138
CYB561D1,hsa-miR-328-3p,1870
CYB561D1,hsa-miR-33b-3p,690
CYB561D1,hsa-miR-342-5p,3837
CYB561D1,hsa-miR-345-5p,3530
CYB561D1,hsa-miR-3605-5p,2414
CYB561D1,hsa-miR-361-3p,1618
CYB561D1,hsa-miR-3612,1943
CYB561D1,hsa-miR-3614-3p,810
CYB561D1,hsa-miR-3616-3p,2289
CYB561D1,hsa-miR-3620-5p,846
CYB561D1,hsa-miR-3622a-3p,716
CYB561D1,hsa-miR-3622a-5p,3368
CYB561D1,hsa-miR-3622b-3p,717
CYB561D1,hsa-miR-3664-5p,228
CYB561D1,hsa-miR-3667-3p,2052
CYB561D1,hsa-miR-3681-3p,696
CYB561D1,hsa-miR-3689a-3p,1949
CYB561D1,hsa-miR-3689b-3p,1950
CYB561D1,hsa-miR-3689c,1950
CYB561D1,hsa-miR-3689d,2432
CYB561D1,hsa-miR-3690,99
CYB561D1,hsa-miR-3692-3p,697
CYB561D1,hsa-miR-3692-5p,2108
CYB561D1,hsa-miR-370-3p,2112
CYB561D1,hsa-miR-371b-3p,3659
CYB561D1,hsa-miR-378a-5p,3610
CYB561D1,hsa-miR-378g,832
CYB561D1,hsa-miR-383-3p,1362
CYB561D1,hsa-miR-3913-3p,2026
CYB561D1,hsa-miR-3938,2188
CYB561D1,hsa-miR-3940-3p,869
CYB561D1,hsa-miR-3943,1148
CYB561D1,hsa-miR-423-5p,1613
CYB561D1,hsa-miR-4252,2367
CYB561D1,hsa-miR-4254,1632
CYB561D1,hsa-miR-4268,2211
CYB561D1,hsa-miR-4270,2534
CYB561D1,hsa-miR-4271,3552
CYB561D1,hsa-miR-4283,2858
CYB561D1,hsa-miR-4286,1039
CYB561D1,hsa-miR-4290,786
CYB561D1,hsa-miR-4297,3593
CYB561D1,hsa-miR-4313,1148
CYB561D1,hsa-miR-4316,2923
CYB561D1,hsa-miR-4323,1761
CYB561D1,hsa-miR-4327,3886
CYB561D1,hsa-miR-4418,2186
CYB561D1,hsa-miR-4433a-3p,3794
CYB561D1,hsa-miR-4433a-5p,10
CYB561D1,hsa-miR-4436b-3p,2289
CYB561D1,hsa-miR-4437,2854
CYB561D1,hsa-miR-4446-3p,2040
CYB561D1,hsa-miR-4448,932
CYB561D1,hsa-miR-4466,2431
CYB561D1,hsa-miR-4476,495
CYB561D1,hsa-miR-4478,3211
CYB561D1,hsa-miR-4480,2467
CYB561D1,hsa-miR-4483,1211
CYB561D1,hsa-miR-4487,1135
CYB561D1,hsa-miR-4505,2043
CYB561D1,hsa-miR-4510,901
CYB561D1,hsa-miR-4514,1936
CYB561D1,hsa-miR-451b,267
CYB561D1,hsa-miR-4524a-3p,1688
CYB561D1,hsa-miR-4524a-5p,3620
CYB561D1,hsa-miR-4524b-3p,1689
CYB561D1,hsa-miR-4524b-5p,3621
CYB561D1,hsa-miR-4533,3557
CYB561D1,hsa-miR-4534,2281
CYB561D1,hsa-miR-4632-5p,1246
CYB561D1,hsa-miR-4640-3p,582
CYB561D1,hsa-miR-4640-5p,3020
CYB561D1,hsa-miR-4646-5p,1123
CYB561D1,hsa-miR-4650-3p,1850
CYB561D1,hsa-miR-4651,1208
CYB561D1,hsa-miR-4656,851
CYB561D1,hsa-miR-4664-5p,3836
CYB561D1,hsa-miR-4667-3p,786
CYB561D1,hsa-miR-4682,1736
CYB561D1,hsa-miR-4685-5p,2040
CYB561D1,hsa-miR-4687-5p,876
CYB561D1,hsa-miR-4688,1611
CYB561D1,hsa-miR-4689,2473
CYB561D1,hsa-miR-4690-3p,822
CYB561D1,hsa-miR-4695-5p,1945
CYB561D1,hsa-miR-4706,2421
CYB561D1,hsa-miR-4707-3p,1974
CYB561D1,hsa-miR-4708-5p,944
CYB561D1,hsa-miR-4710,3547
CYB561D1,hsa-miR-4712-5p,168
CYB561D1,hsa-miR-4715-3p,3752
CYB561D1,hsa-miR-4716-3p,3551
CYB561D1,hsa-miR-4721,3542
CYB561D1,hsa-miR-4722-3p,3759
CYB561D1,hsa-miR-4722-5p,2159
CYB561D1,hsa-miR-4723-3p,2142
CYB561D1,hsa-miR-4723-5p,902
CYB561D1,hsa-miR-4725-3p,3551
CYB561D1,hsa-miR-4726-5p,3020
CYB561D1,hsa-miR-4727-5p,3145
CYB561D1,hsa-miR-4728-5p,902
CYB561D1,hsa-miR-4731-3p,267
CYB561D1,hsa-miR-4731-5p,2090
CYB561D1,hsa-miR-4738-5p,1416
CYB561D1,hsa-miR-4739,1702
CYB561D1,hsa-miR-4747-5p,3546
CYB561D1,hsa-miR-4749-5p,2425
CYB561D1,hsa-miR-4750-3p,685
CYB561D1,hsa-miR-4751,1503
CYB561D1,hsa-miR-4758-3p,1034
CYB561D1,hsa-miR-4763-5p,1986
CYB561D1,hsa-miR-4776-5p,1136
CYB561D1,hsa-miR-4779,1706
CYB561D1,hsa-miR-4784,1811
CYB561D1,hsa-miR-4787-5p,3057
CYB561D1,hsa-miR-4793-3p,3139
CYB561D1,hsa-miR-483-5p,2825
CYB561D1,hsa-miR-484,193
CYB561D1,hsa-miR-488-5p,2898
CYB561D1,hsa-miR-492,1498
CYB561D1,hsa-miR-497-5p,1363
CYB561D1,hsa-miR-5001-5p,2037
CYB561D1,hsa-miR-5003-5p,4080
CYB561D1,hsa-miR-5006-5p,2226
CYB561D1,hsa-miR-5008-5p,2968
CYB561D1,hsa-miR-505-5p,2371
CYB561D1,hsa-miR-508-5p,3134
CYB561D1,hsa-miR-5088-3p,705
CYB561D1,hsa-miR-5088-5p,2211
CYB561D1,hsa-miR-509-5p,2185
CYB561D1,hsa-miR-512-5p,1152
CYB561D1,hsa-miR-515-3p,692
CYB561D1,hsa-miR-515-5p,767
CYB561D1,hsa-miR-516a-3p,2486
CYB561D1,hsa-miR-516b-3p,2486
CYB561D1,hsa-miR-516b-5p,1197
CYB561D1,hsa-miR-5189-3p,3938
CYB561D1,hsa-miR-518c-5p,1198
CYB561D1,hsa-miR-5193,2147
CYB561D1,hsa-miR-5194,2840
CYB561D1,hsa-miR-5196-5p,3551
CYB561D1,hsa-miR-519e-3p,745
CYB561D1,hsa-miR-549a-3p,1117
CYB561D1,hsa-miR-550a-5p,691
CYB561D1,hsa-miR-5581-3p,1764
CYB561D1,hsa-miR-5586-3p,3119
CYB561D1,hsa-miR-564,3367
CYB561D1,hsa-miR-5685,822
CYB561D1,hsa-miR-5689,3733
CYB561D1,hsa-miR-5691,2136
CYB561D1,hsa-miR-5697,211
CYB561D1,hsa-miR-5698,905
CYB561D1,hsa-miR-5739,1512
CYB561D1,hsa-miR-5787,2041
CYB561D1,hsa-miR-583,1809
CYB561D1,hsa-miR-593-5p,1156
CYB561D1,hsa-miR-596,2999
CYB561D1,hsa-miR-6069,827
CYB561D1,hsa-miR-6077,1126
CYB561D1,hsa-miR-608,1204
CYB561D1,hsa-miR-6088,1121
CYB561D1,hsa-miR-6089,3329
CYB561D1,hsa-miR-6090,902
CYB561D1,hsa-miR-6124,2266
CYB561D1,hsa-miR-6125,3010
CYB561D1,hsa-miR-6127,903
CYB561D1,hsa-miR-6131,2112
CYB561D1,hsa-miR-6133,1709
CYB561D1,hsa-miR-650,1947
CYB561D1,hsa-miR-6510-5p,1663
CYB561D1,hsa-miR-6511a-3p,1256
CYB561D1,hsa-miR-6511b-3p,1255
CYB561D1,hsa-miR-6512-3p,1183
CYB561D1,hsa-miR-6515-5p,2273
CYB561D1,hsa-miR-6529-3p,2132
CYB561D1,hsa-miR-6529-5p,3509
CYB561D1,hsa-miR-657,3996
CYB561D1,hsa-miR-658,2406
CYB561D1,hsa-miR-661,932
CYB561D1,hsa-miR-664a-5p,3372
CYB561D1,hsa-miR-6715b-3p,4086
CYB561D1,hsa-miR-6720-5p,1181
CYB561D1,hsa-miR-6721-5p,2288
CYB561D1,hsa-miR-6722-3p,1662
CYB561D1,hsa-miR-6727-3p,3761
CYB561D1,hsa-miR-6728-3p,2137
CYB561D1,hsa-miR-6731-3p,2196
CYB561D1,hsa-miR-6731-5p,544
CYB561D1,hsa-miR-6734-3p,3597
CYB561D1,hsa-miR-6735-5p,627
CYB561D1,hsa-miR-6738-3p,1582
CYB561D1,hsa-miR-6738-5p,1081
CYB561D1,hsa-miR-6745,3057
CYB561D1,hsa-miR-6749-3p,2049
CYB561D1,hsa-miR-675-5p,2428
CYB561D1,hsa-miR-6750-5p,2398
CYB561D1,hsa-miR-6752-3p,1040
CYB561D1,hsa-miR-6752-5p,3057
CYB561D1,hsa-miR-6754-5p,2532
CYB561D1,hsa-miR-6756-3p,2055
CYB561D1,hsa-miR-6756-5p,2981
CYB561D1,hsa-miR-6757-5p,3028
CYB561D1,hsa-miR-6758-5p,2970
CYB561D1,hsa-miR-6760-5p,2272
CYB561D1,hsa-miR-6761-5p,3674
CYB561D1,hsa-miR-6763-5p,2982
CYB561D1,hsa-miR-6764-5p,2045
CYB561D1,hsa-miR-6765-3p,1955
CYB561D1,hsa-miR-6767-3p,3233
CYB561D1,hsa-miR-6769b-3p,2143
CYB561D1,hsa-miR-6770-3p,3128
CYB561D1,hsa-miR-6771-5p,3212
CYB561D1,hsa-miR-6772-3p,1436
CYB561D1,hsa-miR-6775-3p,883
CYB561D1,hsa-miR-6778-3p,3902
CYB561D1,hsa-miR-6779-3p,1042
CYB561D1,hsa-miR-6779-5p,1950
CYB561D1,hsa-miR-6780a-5p,1951
CYB561D1,hsa-miR-6780b-5p,3552
CYB561D1,hsa-miR-6782-5p,2834
CYB561D1,hsa-miR-6783-3p,1435
CYB561D1,hsa-miR-6785-5p,902
CYB561D1,hsa-miR-6788-5p,547
CYB561D1,hsa-miR-6792-3p,2497
CYB561D1,hsa-miR-6792-5p,2167
CYB561D1,hsa-miR-6794-5p,2258
CYB561D1,hsa-miR-6797-5p,898
CYB561D1,hsa-miR-6798-3p,586
CYB561D1,hsa-miR-6799-3p,887
CYB561D1,hsa-miR-6799-5p,2435
CYB561D1,hsa-miR-6801-3p,1443
CYB561D1,hsa-miR-6801-5p,2103
CYB561D1,hsa-miR-6805-3p,2135
CYB561D1,hsa-miR-6808-5p,1929
CYB561D1,hsa-miR-6810-3p,1443
CYB561D1,hsa-miR-6820-5p,1855
CYB561D1,hsa-miR-6822-5p,2400
