threshold_quantile,minimum_abs_rs,source_tertile_label,n_switches,n_genes,accuracy,ci_lower,ci_upper,threshold_percentile,distance_group,p_value,fdr_48_test_family,legacy_random_seed,n_bootstrap,n_sign_flip,source_switch_sha256,freeze_scope,fdr,bh_family_size,inference_scope,cell_inference_source,cell_inference_source_sha256,rng_reproducibility
0.25,0.02452536325,Static,125,123,0.4959349593,0.406504065,0.5853658537,25,Low pairwise coverage distance,1.0,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,1.0,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.25,0.02452536325,High variable,120,119,0.6008403361,0.512605042,0.6890756303,25,High pairwise coverage distance,0.03314834258,0.1429928504,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.09532856691,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.3,0.0277623365,Static,118,117,0.5085470085,0.4188034188,0.594017094,30,Low pairwise coverage distance,0.9270036498,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.3,0.0277623365,High variable,111,110,0.6045454545,0.5136363636,0.7,30,High pairwise coverage distance,0.03334833258,0.1429928504,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.09532856691,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.35,0.03341408435,Static,110,109,0.5091743119,0.4174311927,0.6009174312,35,Low pairwise coverage distance,0.9219039048,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.35,0.03341408435,High variable,103,102,0.5931372549,0.5,0.6911764706,35,High pairwise coverage distance,0.06969651517,0.2538730206,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.1692486804,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.4,0.0383658034,Static,98,98,0.4897959184,0.387755102,0.5816326531,40,Low pairwise coverage distance,0.9199040048,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.4,0.0383658034,High variable,98,98,0.5918367347,0.5,0.693877551,40,High pairwise coverage distance,0.08334583271,0.2635368232,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.1756912154,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.45,0.04245471675,Static,92,92,0.4782608696,0.3801630435,0.5760869565,45,Low pairwise coverage distance,0.7567121644,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.45,0.04245471675,High variable,90,90,0.6,0.5,0.7,45,High pairwise coverage distance,0.07404629769,0.2538730206,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.1692486804,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.5,0.0480106535,Static,82,82,0.4634146341,0.3536585366,0.5731707317,50,Low pairwise coverage distance,0.5788210589,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9853221624,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.5,0.0480106535,High variable,82,82,0.6341463415,0.5243902439,0.7317073171,50,High pairwise coverage distance,0.01829908505,0.1254794403,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.08365296023,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.55,0.05494895905,Static,76,76,0.4736842105,0.3552631579,0.5789473684,55,Low pairwise coverage distance,0.7290135493,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9888038931,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.55,0.05494895905,High variable,72,72,0.6805555556,0.5694444444,0.7777777778,55,High pairwise coverage distance,0.003399830008,0.03455827209,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.02303884806,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.6,0.0617093496,Static,69,69,0.4637681159,0.347826087,0.5797101449,60,Low pairwise coverage distance,0.6281185941,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9853221624,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.6,0.0617093496,High variable,64,64,0.6875,0.578125,0.796875,60,High pairwise coverage distance,0.003599820009,0.03455827209,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.02303884806,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.65,0.0731325445,Static,61,61,0.4590163934,0.3278688525,0.5737704918,65,Low pairwise coverage distance,0.6106694665,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9853221624,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.65,0.0731325445,High variable,54,54,0.7407407407,0.6111111111,0.8518518519,65,High pairwise coverage distance,0.0006499675016,0.02159892005,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.01439928004,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.7,0.0822831269,Static,53,53,0.4339622642,0.3018867925,0.5660377358,70,Low pairwise coverage distance,0.4083295835,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.7686203925,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.7,0.0822831269,High variable,48,48,0.75,0.625,0.875,70,High pairwise coverage distance,0.0008999550022,0.02159892005,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.01439928004,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.75,0.0921776735,Static,44,44,0.4545454545,0.3181818182,0.6136363636,75,Low pairwise coverage distance,0.6466176691,1.0,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.9853221624,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
0.75,0.0921776735,High variable,43,43,0.7441860465,0.6046511628,0.8837209302,75,High pairwise coverage distance,0.002049897505,0.03279836008,20260848,2000,20000,d3e9ecbba456674d9a390e2cf3489bf54e19cc945b9706ea8ae272a7c2fbfe4b,Accepted 48-cell inference: 16 thresholds x 3 pairwise coverage-distance tertiles; preserve cell CI/raw P,0.02186557339,32,0th-75th percentiles in 5-percentile increments; BH across 16 thresholds x 2 pairwise coverage-distance extreme tertiles,analysis/coverage_dynamicity/results/figure3H_threshold_grid_5pct_frozen_48_cell_inference.csv,fd7d0cc532dae7817e6a705dea8297baac136c9dabf9b8e4d11502eda0cae35d,Formal CI/raw P retained from accepted frozen 48-cell inference; future recomputation uses deterministic cell-specific RNG streams
